Start Training:
Iter: 15600, Loss: 2.11708e-05, Loss0: 1.07103e-06, Loss_b: 1.24197e-07, Loss_f: 1.92630e-05, Loss_prev: 7.12564e-07
Iter: 15700, Loss: 2.03531e-05, Loss0: 1.00364e-06, Loss_b: 1.21735e-07, Loss_f: 1.85433e-05, Loss_prev: 6.84440e-07
Iter: 15800, Loss: 1.95458e-05, Loss0: 9.57898e-07, Loss_b: 1.02695e-07, Loss_f: 1.78381e-05, Loss_prev: 6.47077e-07
Iter: 15900, Loss: 1.89340e-05, Loss0: 9.62060e-07, Loss_b: 9.72276e-08, Loss_f: 1.71848e-05, Loss_prev: 6.89983e-07
Iter: 16000, Loss: 1.84374e-05, Loss0: 9.68238e-07, Loss_b: 8.55426e-08, Loss_f: 1.67421e-05, Loss_prev: 6.41544e-07
Iter: 16100, Loss: 1.79407e-05, Loss0: 9.62558e-07, Loss_b: 8.58452e-08, Loss_f: 1.62402e-05, Loss_prev: 6.52100e-07
Iter: 16200, Loss: 1.74223e-05, Loss0: 9.33934e-07, Loss_b: 7.47640e-08, Loss_f: 1.57696e-05, Loss_prev: 6.44029e-07
Iter: 16300, Loss: 1.69652e-05, Loss0: 9.11027e-07, Loss_b: 7.08270e-08, Loss_f: 1.53950e-05, Loss_prev: 5.88331e-07
Iter: 16400, Loss: 1.65287e-05, Loss0: 9.05269e-07, Loss_b: 8.43375e-08, Loss_f: 1.49956e-05, Loss_prev: 5.43507e-07
Iter: 16500, Loss: 1.60510e-05, Loss0: 8.86458e-07, Loss_b: 6.96227e-08, Loss_f: 1.45655e-05, Loss_prev: 5.29367e-07
Iter: 16600, Loss: 1.56666e-05, Loss0: 8.73729e-07, Loss_b: 7.03813e-08, Loss_f: 1.42233e-05, Loss_prev: 4.99155e-07
Iter: 16700, Loss: 1.52099e-05, Loss0: 8.52627e-07, Loss_b: 5.47057e-08, Loss_f: 1.38612e-05, Loss_prev: 4.41364e-07
Iter: 16800, Loss: 1.48236e-05, Loss0: 8.34635e-07, Loss_b: 6.22956e-08, Loss_f: 1.34672e-05, Loss_prev: 4.59510e-07
Iter: 16900, Loss: 1.44330e-05, Loss0: 8.35411e-07, Loss_b: 5.09771e-08, Loss_f: 1.31501e-05, Loss_prev: 3.96568e-07
Iter: 17000, Loss: 1.40170e-05, Loss0: 8.23895e-07, Loss_b: 5.44628e-08, Loss_f: 1.27484e-05, Loss_prev: 3.90255e-07
Iter: 17100, Loss: 1.35009e-05, Loss0: 8.07149e-07, Loss_b: 5.79272e-08, Loss_f: 1.22476e-05, Loss_prev: 3.88283e-07
