Start Training:
Iter: 15700, Loss: 1.67094e-05, Loss_0: 2.14237e-06, Loss_b: 8.30699e-07, Loss_f: 1.37363e-05
Iter: 15800, Loss: 1.63136e-05, Loss_0: 2.06626e-06, Loss_b: 8.11289e-07, Loss_f: 1.34360e-05
Iter: 15900, Loss: 1.59609e-05, Loss_0: 1.98606e-06, Loss_b: 8.25182e-07, Loss_f: 1.31496e-05
Iter: 16000, Loss: 1.56598e-05, Loss_0: 1.92212e-06, Loss_b: 8.37998e-07, Loss_f: 1.28997e-05
Iter: 16100, Loss: 1.53287e-05, Loss_0: 1.92527e-06, Loss_b: 8.41914e-07, Loss_f: 1.25615e-05
Iter: 16200, Loss: 1.50122e-05, Loss_0: 1.89377e-06, Loss_b: 8.70143e-07, Loss_f: 1.22483e-05
Iter: 16300, Loss: 1.47216e-05, Loss_0: 1.80328e-06, Loss_b: 8.57754e-07, Loss_f: 1.20606e-05
Iter: 16400, Loss: 1.44356e-05, Loss_0: 1.69650e-06, Loss_b: 9.10076e-07, Loss_f: 1.18290e-05
Iter: 16500, Loss: 1.41303e-05, Loss_0: 1.66579e-06, Loss_b: 8.78656e-07, Loss_f: 1.15859e-05
Iter: 16600, Loss: 1.37830e-05, Loss_0: 1.63278e-06, Loss_b: 8.55018e-07, Loss_f: 1.12952e-05
Iter: 16700, Loss: 1.34439e-05, Loss_0: 1.58809e-06, Loss_b: 7.79702e-07, Loss_f: 1.10761e-05
Iter: 16800, Loss: 1.31591e-05, Loss_0: 1.55431e-06, Loss_b: 8.12310e-07, Loss_f: 1.07925e-05
Iter: 16900, Loss: 1.28486e-05, Loss_0: 1.49138e-06, Loss_b: 8.25500e-07, Loss_f: 1.05317e-05
Iter: 17000, Loss: 1.26055e-05, Loss_0: 1.45031e-06, Loss_b: 8.71160e-07, Loss_f: 1.02840e-05
Iter: 17100, Loss: 1.23619e-05, Loss_0: 1.39532e-06, Loss_b: 8.89230e-07, Loss_f: 1.00773e-05
Iter: 17200, Loss: 1.21399e-05, Loss_0: 1.36455e-06, Loss_b: 8.74600e-07, Loss_f: 9.90075e-06
Iter: 17300, Loss: 1.18888e-05, Loss_0: 1.32059e-06, Loss_b: 8.84929e-07, Loss_f: 9.68326e-06
Iter: 17400, Loss: 1.16240e-05, Loss_0: 1.29313e-06, Loss_b: 8.27173e-07, Loss_f: 9.50370e-06
Iter: 17500, Loss: 1.13897e-05, Loss_0: 1.27918e-06, Loss_b: 8.50890e-07, Loss_f: 9.25966e-06
Iter: 17600, Loss: 1.11689e-05, Loss_0: 1.27626e-06, Loss_b: 8.42839e-07, Loss_f: 9.04982e-06
Iter: 17700, Loss: 1.09362e-05, Loss_0: 1.27451e-06, Loss_b: 8.05373e-07, Loss_f: 8.85632e-06
Iter: 17800, Loss: 1.07252e-05, Loss_0: 1.28496e-06, Loss_b: 7.75563e-07, Loss_f: 8.66463e-06
Iter: 17900, Loss: 1.05205e-05, Loss_0: 1.28290e-06, Loss_b: 7.65750e-07, Loss_f: 8.47183e-06
Iter: 18000, Loss: 1.03372e-05, Loss_0: 1.27019e-06, Loss_b: 7.58099e-07, Loss_f: 8.30886e-06
Iter: 18100, Loss: 1.01570e-05, Loss_0: 1.24178e-06, Loss_b: 7.43108e-07, Loss_f: 8.17216e-06
Iter: 18200, Loss: 9.97769e-06, Loss_0: 1.21667e-06, Loss_b: 7.49210e-07, Loss_f: 8.01181e-06
Iter: 18300, Loss: 9.80880e-06, Loss_0: 1.19682e-06, Loss_b: 7.09547e-07, Loss_f: 7.90243e-06
