Start Training:
Iter: 9000, Loss: 3.02309e-02, Loss_0: 7.03573e-04, Loss_b: 1.17372e-05, Loss_f: 9.73830e-04, Loss_s: 2.85417e-02
Iter: 9100, Loss: 3.32800e-02, Loss_0: 5.61298e-04, Loss_b: 7.99039e-06, Loss_f: 3.95266e-03, Loss_s: 2.87581e-02
Iter: 9200, Loss: 3.02574e-02, Loss_0: 6.96306e-04, Loss_b: 7.19585e-05, Loss_f: 9.70759e-04, Loss_s: 2.85183e-02
Iter: 9300, Loss: 3.04723e-02, Loss_0: 7.88164e-04, Loss_b: 3.67968e-05, Loss_f: 1.00179e-03, Loss_s: 2.86455e-02
Iter: 9400, Loss: 3.09340e-02, Loss_0: 7.49653e-04, Loss_b: 2.37344e-04, Loss_f: 1.41854e-03, Loss_s: 2.85284e-02
Iter: 9500, Loss: 3.04524e-02, Loss_0: 6.87256e-04, Loss_b: 2.27084e-05, Loss_f: 1.28259e-03, Loss_s: 2.84598e-02
Iter: 9600, Loss: 3.19302e-02, Loss_0: 7.30941e-04, Loss_b: 8.71425e-06, Loss_f: 2.76368e-03, Loss_s: 2.84268e-02
Iter: 9700, Loss: 3.03097e-02, Loss_0: 6.65009e-04, Loss_b: 2.01041e-05, Loss_f: 1.13575e-03, Loss_s: 2.84888e-02
Iter: 9800, Loss: 2.94538e-02, Loss_0: 6.34062e-04, Loss_b: 4.49342e-06, Loss_f: 3.65929e-04, Loss_s: 2.84493e-02
Iter: 9900, Loss: 3.02792e-02, Loss_0: 7.53777e-04, Loss_b: 2.62023e-04, Loss_f: 8.55450e-04, Loss_s: 2.84079e-02
Iter: 10000, Loss: 3.02603e-02, Loss_0: 6.96348e-04, Loss_b: 3.80282e-05, Loss_f: 1.10619e-03, Loss_s: 2.84198e-02
Iter: 10100, Loss: 2.91394e-02, Loss_0: 5.55526e-04, Loss_b: 8.47962e-07, Loss_f: 3.70431e-04, Loss_s: 2.82126e-02
Iter: 10200, Loss: 2.89084e-02, Loss_0: 5.25240e-04, Loss_b: 7.21911e-07, Loss_f: 3.09202e-04, Loss_s: 2.80732e-02
Iter: 10300, Loss: 2.87330e-02, Loss_0: 5.25104e-04, Loss_b: 5.49264e-07, Loss_f: 2.34184e-04, Loss_s: 2.79731e-02
Iter: 10400, Loss: 2.86080e-02, Loss_0: 5.22218e-04, Loss_b: 6.87195e-07, Loss_f: 1.96442e-04, Loss_s: 2.78887e-02
Iter: 10500, Loss: 2.85171e-02, Loss_0: 4.99242e-04, Loss_b: 8.04520e-07, Loss_f: 1.65614e-04, Loss_s: 2.78514e-02
Iter: 10600, Loss: 2.84249e-02, Loss_0: 5.06379e-04, Loss_b: 2.99678e-07, Loss_f: 1.36452e-04, Loss_s: 2.77818e-02
Iter: 10700, Loss: 2.83626e-02, Loss_0: 4.98059e-04, Loss_b: 3.73238e-07, Loss_f: 1.22037e-04, Loss_s: 2.77421e-02
Iter: 10800, Loss: 2.83111e-02, Loss_0: 4.93380e-04, Loss_b: 3.18272e-07, Loss_f: 1.08384e-04, Loss_s: 2.77091e-02
Iter: 10900, Loss: 2.82685e-02, Loss_0: 4.85879e-04, Loss_b: 4.55718e-07, Loss_f: 9.52841e-05, Loss_s: 2.76869e-02
Iter: 11000, Loss: 2.82357e-02, Loss_0: 4.94477e-04, Loss_b: 2.38528e-07, Loss_f: 8.77266e-05, Loss_s: 2.76533e-02
Iter: 11100, Loss: 2.82115e-02, Loss_0: 4.97903e-04, Loss_b: 2.98056e-07, Loss_f: 8.15536e-05, Loss_s: 2.76318e-02
Iter: 11200, Loss: 2.81859e-02, Loss_0: 4.85526e-04, Loss_b: 2.46069e-07, Loss_f: 7.82707e-05, Loss_s: 2.76219e-02
Iter: 11300, Loss: 2.81658e-02, Loss_0: 4.75222e-04, Loss_b: 2.34445e-07, Loss_f: 7.03253e-05, Loss_s: 2.76200e-02
Iter: 11400, Loss: 2.81462e-02, Loss_0: 4.75170e-04, Loss_b: 3.69733e-07, Loss_f: 6.49277e-05, Loss_s: 2.76057e-02
Iter: 11500, Loss: 2.81261e-02, Loss_0: 4.90312e-04, Loss_b: 2.08250e-07, Loss_f: 6.15207e-05, Loss_s: 2.75740e-02
