Start Training:
Iter: 9500, Loss: 1.59507e-02, Loss_0: 1.18520e-03, Loss_b: 1.96773e-07, Loss_f: 1.69848e-03, Loss_s: 1.30669e-02
Iter: 9600, Loss: 1.57845e-02, Loss_0: 1.13440e-03, Loss_b: 2.58462e-07, Loss_f: 1.74905e-03, Loss_s: 1.29008e-02
Iter: 9700, Loss: 1.56592e-02, Loss_0: 1.16829e-03, Loss_b: 3.32792e-07, Loss_f: 1.74130e-03, Loss_s: 1.27493e-02
Iter: 9800, Loss: 2.78153e-02, Loss_0: 1.40557e-03, Loss_b: 7.02971e-07, Loss_f: 1.39420e-02, Loss_s: 1.24671e-02
Iter: 9900, Loss: 1.53606e-02, Loss_0: 1.10121e-03, Loss_b: 1.78962e-07, Loss_f: 1.88216e-03, Loss_s: 1.23771e-02
Iter: 10000, Loss: 1.74868e-02, Loss_0: 1.24584e-03, Loss_b: 8.37849e-07, Loss_f: 4.04486e-03, Loss_s: 1.21953e-02
Iter: 10100, Loss: 1.23580e-02, Loss_0: 5.76255e-04, Loss_b: 1.03468e-06, Loss_f: 1.73229e-03, Loss_s: 1.00484e-02
Iter: 10200, Loss: 1.01582e-02, Loss_0: 3.75764e-04, Loss_b: 3.54708e-06, Loss_f: 1.33230e-03, Loss_s: 8.44660e-03
Iter: 10300, Loss: 9.06681e-03, Loss_0: 2.25726e-04, Loss_b: 7.72988e-07, Loss_f: 8.21963e-04, Loss_s: 8.01835e-03
Iter: 10400, Loss: 8.56169e-03, Loss_0: 1.97504e-04, Loss_b: 2.07286e-06, Loss_f: 5.71687e-04, Loss_s: 7.79043e-03
Iter: 10500, Loss: 8.22080e-03, Loss_0: 1.40169e-04, Loss_b: 8.75177e-07, Loss_f: 4.50976e-04, Loss_s: 7.62878e-03
Iter: 10600, Loss: 7.93741e-03, Loss_0: 1.49524e-04, Loss_b: 1.10426e-06, Loss_f: 3.45981e-04, Loss_s: 7.44080e-03
Iter: 10700, Loss: 7.70460e-03, Loss_0: 1.43900e-04, Loss_b: 1.52905e-06, Loss_f: 2.89364e-04, Loss_s: 7.26981e-03
Iter: 10800, Loss: 7.54340e-03, Loss_0: 1.48905e-04, Loss_b: 4.54403e-07, Loss_f: 2.79234e-04, Loss_s: 7.11481e-03
Iter: 10900, Loss: 7.37478e-03, Loss_0: 1.29991e-04, Loss_b: 4.62597e-07, Loss_f: 2.57533e-04, Loss_s: 6.98680e-03
