Start Training:
Iter: 6500, Loss: 8.09042e-02, Loss_0: 3.26796e-03, Loss_b: 3.88828e-05, Loss_f: 1.11533e-02, Loss_s: 6.64441e-02
Iter: 6600, Loss: 7.19916e-02, Loss_0: 2.75061e-03, Loss_b: 6.02463e-06, Loss_f: 2.65887e-03, Loss_s: 6.65761e-02
Iter: 6700, Loss: 7.13629e-02, Loss_0: 2.69018e-03, Loss_b: 5.75165e-06, Loss_f: 2.15390e-03, Loss_s: 6.65130e-02
Iter: 6800, Loss: 7.07720e-02, Loss_0: 2.77652e-03, Loss_b: 4.86287e-06, Loss_f: 1.64372e-03, Loss_s: 6.63469e-02
Iter: 6900, Loss: 7.06379e-02, Loss_0: 2.78688e-03, Loss_b: 5.78152e-06, Loss_f: 1.57997e-03, Loss_s: 6.62652e-02
Iter: 7000, Loss: 7.13709e-02, Loss_0: 2.61778e-03, Loss_b: 3.39853e-06, Loss_f: 2.42272e-03, Loss_s: 6.63270e-02
Iter: 7100, Loss: 1.10379e-01, Loss_0: 2.34682e-03, Loss_b: 1.85942e-05, Loss_f: 4.13507e-02, Loss_s: 6.66624e-02
Iter: 7200, Loss: 7.01848e-02, Loss_0: 2.60951e-03, Loss_b: 3.84438e-06, Loss_f: 1.45904e-03, Loss_s: 6.61124e-02
Iter: 7300, Loss: 7.00851e-02, Loss_0: 2.57695e-03, Loss_b: 3.72853e-06, Loss_f: 1.44476e-03, Loss_s: 6.60597e-02
Iter: 7400, Loss: 7.01132e-02, Loss_0: 2.61923e-03, Loss_b: 3.33069e-06, Loss_f: 1.54849e-03, Loss_s: 6.59421e-02
Iter: 7500, Loss: 6.98516e-02, Loss_0: 2.53277e-03, Loss_b: 3.42774e-06, Loss_f: 1.38828e-03, Loss_s: 6.59271e-02
Iter: 7600, Loss: 6.98186e-02, Loss_0: 2.52680e-03, Loss_b: 2.85518e-06, Loss_f: 1.42352e-03, Loss_s: 6.58654e-02
Iter: 7700, Loss: 6.97528e-02, Loss_0: 2.46221e-03, Loss_b: 3.61452e-06, Loss_f: 1.45421e-03, Loss_s: 6.58328e-02
