Start Training:
Iter: 7700, Loss: 6.46600e-03, Loss0: 8.77673e-05, Loss_b: 7.36448e-06, Loss_f: 2.52727e-03, Loss_prev: 3.84360e-03
Iter: 7800, Loss: 6.90787e-03, Loss0: 9.73572e-05, Loss_b: 4.82638e-05, Loss_f: 2.73653e-03, Loss_prev: 4.02571e-03
Iter: 7900, Loss: 6.70637e-03, Loss0: 9.70491e-05, Loss_b: 4.95923e-05, Loss_f: 2.88303e-03, Loss_prev: 3.67669e-03
Iter: 8000, Loss: 9.32583e-03, Loss0: 1.48180e-04, Loss_b: 2.86237e-04, Loss_f: 5.50869e-03, Loss_prev: 3.38272e-03
Iter: 8100, Loss: 6.63247e-03, Loss0: 8.16266e-05, Loss_b: 1.10677e-05, Loss_f: 2.27120e-03, Loss_prev: 4.26857e-03
Iter: 8200, Loss: 6.17692e-03, Loss0: 8.53709e-05, Loss_b: 2.57805e-05, Loss_f: 2.53290e-03, Loss_prev: 3.53287e-03
Iter: 8300, Loss: 1.86483e-02, Loss0: 2.94202e-04, Loss_b: 6.18305e-04, Loss_f: 1.41384e-02, Loss_prev: 3.59740e-03
Iter: 8400, Loss: 1.49008e-02, Loss0: 2.45282e-04, Loss_b: 4.58471e-04, Loss_f: 1.04752e-02, Loss_prev: 3.72178e-03
Iter: 8500, Loss: 8.46431e-03, Loss0: 1.37047e-04, Loss_b: 1.75394e-04, Loss_f: 3.44651e-03, Loss_prev: 4.70536e-03
Iter: 8600, Loss: 9.51981e-03, Loss0: 1.67806e-04, Loss_b: 3.72002e-04, Loss_f: 5.66745e-03, Loss_prev: 3.31255e-03
Iter: 8700, Loss: 1.02890e-01, Loss0: 1.30343e-03, Loss_b: 3.71770e-03, Loss_f: 9.29751e-02, Loss_prev: 4.89333e-03
Iter: 8800, Loss: 9.00946e-03, Loss0: 1.48266e-04, Loss_b: 2.66127e-04, Loss_f: 5.53648e-03, Loss_prev: 3.05859e-03
Iter: 8900, Loss: 6.77071e-03, Loss0: 7.86629e-05, Loss_b: 7.52944e-06, Loss_f: 2.56286e-03, Loss_prev: 4.12165e-03
Iter: 9000, Loss: 8.23042e-03, Loss0: 1.32451e-04, Loss_b: 1.79291e-04, Loss_f: 3.38702e-03, Loss_prev: 4.53166e-03
Iter: 9100, Loss: 6.79589e-03, Loss0: 9.01869e-05, Loss_b: 1.22103e-04, Loss_f: 2.78210e-03, Loss_prev: 3.80150e-03
Iter: 9200, Loss: 5.92992e-03, Loss0: 7.24097e-05, Loss_b: 6.87820e-06, Loss_f: 2.14985e-03, Loss_prev: 3.70079e-03
Iter: 9300, Loss: 5.62971e-03, Loss0: 6.88916e-05, Loss_b: 1.43355e-05, Loss_f: 2.19929e-03, Loss_prev: 3.34719e-03
Iter: 9400, Loss: 5.25738e-03, Loss0: 6.54481e-05, Loss_b: 3.69987e-06, Loss_f: 2.14773e-03, Loss_prev: 3.04051e-03
Iter: 9500, Loss: 5.68739e-03, Loss0: 8.13999e-05, Loss_b: 6.79505e-06, Loss_f: 2.55370e-03, Loss_prev: 3.04550e-03
Iter: 9600, Loss: 6.58428e-03, Loss0: 8.13602e-05, Loss_b: 8.85714e-06, Loss_f: 2.64938e-03, Loss_prev: 3.84468e-03
Iter: 9700, Loss: 7.88470e-03, Loss0: 1.02587e-04, Loss_b: 1.19115e-04, Loss_f: 3.66076e-03, Loss_prev: 4.00223e-03
Iter: 9800, Loss: 5.50864e-03, Loss0: 6.92294e-05, Loss_b: 1.33638e-05, Loss_f: 2.34261e-03, Loss_prev: 3.08343e-03
Iter: 9900, Loss: 1.22151e-02, Loss0: 1.73906e-04, Loss_b: 3.00018e-04, Loss_f: 8.73664e-03, Loss_prev: 3.00452e-03
Iter: 10000, Loss: 3.90644e-02, Loss0: 8.64778e-04, Loss_b: 2.75852e-03, Loss_f: 3.06646e-02, Loss_prev: 4.77645e-03
Iter: 10100, Loss: 4.00172e-03, Loss0: 6.19671e-05, Loss_b: 2.17034e-06, Loss_f: 1.86995e-03, Loss_prev: 2.06763e-03
Iter: 10200, Loss: 3.11973e-03, Loss0: 5.09393e-05, Loss_b: 1.67311e-06, Loss_f: 1.73234e-03, Loss_prev: 1.33478e-03
Iter: 10300, Loss: 2.46783e-03, Loss0: 4.16642e-05, Loss_b: 6.63506e-06, Loss_f: 1.35235e-03, Loss_prev: 1.06718e-03
Iter: 10400, Loss: 2.02182e-03, Loss0: 3.46892e-05, Loss_b: 8.90512e-06, Loss_f: 1.19504e-03, Loss_prev: 7.83181e-04
Iter: 10500, Loss: 1.71300e-03, Loss0: 2.93984e-05, Loss_b: 1.04788e-05, Loss_f: 1.09534e-03, Loss_prev: 5.77777e-04
Iter: 10600, Loss: 1.37973e-03, Loss0: 3.22565e-05, Loss_b: 5.15336e-06, Loss_f: 8.52209e-04, Loss_prev: 4.90109e-04
Iter: 10700, Loss: 1.13098e-03, Loss0: 2.93517e-05, Loss_b: 4.09913e-06, Loss_f: 7.35121e-04, Loss_prev: 3.62408e-04
Iter: 10800, Loss: 9.43620e-04, Loss0: 2.29948e-05, Loss_b: 3.66461e-06, Loss_f: 6.24707e-04, Loss_prev: 2.92253e-04
Iter: 10900, Loss: 8.11760e-04, Loss0: 2.15582e-05, Loss_b: 3.98455e-06, Loss_f: 5.43883e-04, Loss_prev: 2.42334e-04
Iter: 11000, Loss: 6.87235e-04, Loss0: 2.01947e-05, Loss_b: 3.60472e-06, Loss_f: 4.63658e-04, Loss_prev: 1.99778e-04
Iter: 11100, Loss: 6.08256e-04, Loss0: 1.98377e-05, Loss_b: 2.88243e-06, Loss_f: 4.14090e-04, Loss_prev: 1.71446e-04
Iter: 11200, Loss: 5.39595e-04, Loss0: 1.61136e-05, Loss_b: 2.04681e-06, Loss_f: 3.60746e-04, Loss_prev: 1.60689e-04
Iter: 11300, Loss: 4.71262e-04, Loss0: 1.44193e-05, Loss_b: 1.01153e-06, Loss_f: 3.36481e-04, Loss_prev: 1.19349e-04
Iter: 11400, Loss: 4.13597e-04, Loss0: 1.22050e-05, Loss_b: 9.86435e-07, Loss_f: 2.95914e-04, Loss_prev: 1.04491e-04
Iter: 11500, Loss: 3.65884e-04, Loss0: 1.19859e-05, Loss_b: 1.11144e-06, Loss_f: 2.70700e-04, Loss_prev: 8.20862e-05
Iter: 11600, Loss: 3.16399e-04, Loss0: 1.11368e-05, Loss_b: 1.05008e-06, Loss_f: 2.34561e-04, Loss_prev: 6.96515e-05
Iter: 11700, Loss: 2.76424e-04, Loss0: 9.88192e-06, Loss_b: 6.28985e-07, Loss_f: 2.14675e-04, Loss_prev: 5.12387e-05
Iter: 11800, Loss: 2.48749e-04, Loss0: 8.88758e-06, Loss_b: 7.11417e-07, Loss_f: 1.94996e-04, Loss_prev: 4.41534e-05
Iter: 11900, Loss: 2.22294e-04, Loss0: 8.61398e-06, Loss_b: 1.10778e-06, Loss_f: 1.74634e-04, Loss_prev: 3.79383e-05
Iter: 12000, Loss: 1.98455e-04, Loss0: 8.19240e-06, Loss_b: 8.62965e-07, Loss_f: 1.55314e-04, Loss_prev: 3.40861e-05
Iter: 12100, Loss: 1.78089e-04, Loss0: 7.72323e-06, Loss_b: 7.73418e-07, Loss_f: 1.41308e-04, Loss_prev: 2.82849e-05
Iter: 12200, Loss: 1.61541e-04, Loss0: 7.26414e-06, Loss_b: 5.93444e-07, Loss_f: 1.32355e-04, Loss_prev: 2.13282e-05
Iter: 12300, Loss: 1.43787e-04, Loss0: 6.91323e-06, Loss_b: 4.44400e-07, Loss_f: 1.19662e-04, Loss_prev: 1.67679e-05
Iter: 12400, Loss: 1.29529e-04, Loss0: 6.35940e-06, Loss_b: 4.87453e-07, Loss_f: 1.08592e-04, Loss_prev: 1.40899e-05
Iter: 12500, Loss: 1.17085e-04, Loss0: 6.11231e-06, Loss_b: 7.15681e-07, Loss_f: 9.85916e-05, Loss_prev: 1.16657e-05
Iter: 12600, Loss: 1.05479e-04, Loss0: 5.55147e-06, Loss_b: 6.87522e-07, Loss_f: 8.86389e-05, Loss_prev: 1.06009e-05
Iter: 12700, Loss: 9.60035e-05, Loss0: 5.16946e-06, Loss_b: 5.83106e-07, Loss_f: 8.08709e-05, Loss_prev: 9.38004e-06
Iter: 12800, Loss: 8.73649e-05, Loss0: 4.70560e-06, Loss_b: 6.21361e-07, Loss_f: 7.32045e-05, Loss_prev: 8.83342e-06
Iter: 12900, Loss: 7.90152e-05, Loss0: 4.24062e-06, Loss_b: 4.21050e-07, Loss_f: 6.77884e-05, Loss_prev: 6.56509e-06
Iter: 13000, Loss: 7.31435e-05, Loss0: 3.94452e-06, Loss_b: 3.70728e-07, Loss_f: 6.30093e-05, Loss_prev: 5.81888e-06
Iter: 13100, Loss: 6.82115e-05, Loss0: 3.80295e-06, Loss_b: 3.92127e-07, Loss_f: 5.96809e-05, Loss_prev: 4.33553e-06
Iter: 13200, Loss: 6.25528e-05, Loss0: 3.59037e-06, Loss_b: 3.14456e-07, Loss_f: 5.48365e-05, Loss_prev: 3.81139e-06
Iter: 13300, Loss: 5.69951e-05, Loss0: 3.24178e-06, Loss_b: 2.81549e-07, Loss_f: 4.98840e-05, Loss_prev: 3.58780e-06
Iter: 13400, Loss: 5.24646e-05, Loss0: 2.90598e-06, Loss_b: 4.06869e-07, Loss_f: 4.57751e-05, Loss_prev: 3.37659e-06
Iter: 13500, Loss: 4.83636e-05, Loss0: 2.60834e-06, Loss_b: 4.22655e-07, Loss_f: 4.23347e-05, Loss_prev: 2.99789e-06
Iter: 13600, Loss: 4.38295e-05, Loss0: 2.40282e-06, Loss_b: 3.28328e-07, Loss_f: 3.82294e-05, Loss_prev: 2.86889e-06
Iter: 13700, Loss: 4.04307e-05, Loss0: 2.24000e-06, Loss_b: 3.28002e-07, Loss_f: 3.53287e-05, Loss_prev: 2.53397e-06
Iter: 13800, Loss: 3.82587e-05, Loss0: 2.16081e-06, Loss_b: 2.45968e-07, Loss_f: 3.31458e-05, Loss_prev: 2.70615e-06
Iter: 13900, Loss: 3.58837e-05, Loss0: 2.01525e-06, Loss_b: 2.10396e-07, Loss_f: 3.12831e-05, Loss_prev: 2.37502e-06
Iter: 14000, Loss: 3.41104e-05, Loss0: 1.85604e-06, Loss_b: 2.11103e-07, Loss_f: 2.98871e-05, Loss_prev: 2.15617e-06
Iter: 14100, Loss: 3.25082e-05, Loss0: 1.74151e-06, Loss_b: 1.58435e-07, Loss_f: 2.88026e-05, Loss_prev: 1.80564e-06
Iter: 14200, Loss: 3.07651e-05, Loss0: 1.64544e-06, Loss_b: 1.74723e-07, Loss_f: 2.70568e-05, Loss_prev: 1.88815e-06
Iter: 14300, Loss: 2.95516e-05, Loss0: 1.58697e-06, Loss_b: 1.85053e-07, Loss_f: 2.62769e-05, Loss_prev: 1.50266e-06
Iter: 14400, Loss: 2.81618e-05, Loss0: 1.50887e-06, Loss_b: 1.59582e-07, Loss_f: 2.50954e-05, Loss_prev: 1.39792e-06
Iter: 14500, Loss: 2.66053e-05, Loss0: 1.35378e-06, Loss_b: 1.51693e-07, Loss_f: 2.36708e-05, Loss_prev: 1.42903e-06
Iter: 14600, Loss: 2.51524e-05, Loss0: 1.25121e-06, Loss_b: 1.47493e-07, Loss_f: 2.25282e-05, Loss_prev: 1.22556e-06
Iter: 14700, Loss: 2.40181e-05, Loss0: 1.14847e-06, Loss_b: 1.46341e-07, Loss_f: 2.16179e-05, Loss_prev: 1.10533e-06
Iter: 14800, Loss: 2.29030e-05, Loss0: 1.02625e-06, Loss_b: 1.43765e-07, Loss_f: 2.06662e-05, Loss_prev: 1.06680e-06
Iter: 14900, Loss: 2.17197e-05, Loss0: 9.36438e-07, Loss_b: 1.69593e-07, Loss_f: 1.96077e-05, Loss_prev: 1.00596e-06
Iter: 15000, Loss: 2.06073e-05, Loss0: 9.02074e-07, Loss_b: 1.24430e-07, Loss_f: 1.86430e-05, Loss_prev: 9.37809e-07
Iter: 15100, Loss: 1.95000e-05, Loss0: 7.82383e-07, Loss_b: 1.22421e-07, Loss_f: 1.77246e-05, Loss_prev: 8.70624e-07
Iter: 15200, Loss: 1.85182e-05, Loss0: 6.60135e-07, Loss_b: 1.00758e-07, Loss_f: 1.69608e-05, Loss_prev: 7.96474e-07
Iter: 15300, Loss: 1.76729e-05, Loss0: 5.92587e-07, Loss_b: 1.09005e-07, Loss_f: 1.62282e-05, Loss_prev: 7.43118e-07
Iter: 15400, Loss: 1.70122e-05, Loss0: 5.13031e-07, Loss_b: 1.24248e-07, Loss_f: 1.56734e-05, Loss_prev: 7.01498e-07
Iter: 15500, Loss: 1.63528e-05, Loss0: 4.78219e-07, Loss_b: 1.10458e-07, Loss_f: 1.50707e-05, Loss_prev: 6.93356e-07
Iter: 15600, Loss: 1.56765e-05, Loss0: 4.47512e-07, Loss_b: 9.94066e-08, Loss_f: 1.45337e-05, Loss_prev: 5.95967e-07
Iter: 15700, Loss: 1.52207e-05, Loss0: 4.36563e-07, Loss_b: 1.06453e-07, Loss_f: 1.41271e-05, Loss_prev: 5.50595e-07
Iter: 15800, Loss: 1.46605e-05, Loss0: 4.57664e-07, Loss_b: 1.16578e-07, Loss_f: 1.36112e-05, Loss_prev: 4.75130e-07
Iter: 15900, Loss: 1.40290e-05, Loss0: 4.56452e-07, Loss_b: 1.00807e-07, Loss_f: 1.29856e-05, Loss_prev: 4.86117e-07
Iter: 16000, Loss: 1.34833e-05, Loss0: 4.37764e-07, Loss_b: 9.96163e-08, Loss_f: 1.24875e-05, Loss_prev: 4.58460e-07
Iter: 16100, Loss: 1.29644e-05, Loss0: 4.05461e-07, Loss_b: 8.24821e-08, Loss_f: 1.20389e-05, Loss_prev: 4.37595e-07
Iter: 16200, Loss: 1.24486e-05, Loss0: 3.84312e-07, Loss_b: 9.02547e-08, Loss_f: 1.15570e-05, Loss_prev: 4.17018e-07
Iter: 16300, Loss: 1.18824e-05, Loss0: 3.59961e-07, Loss_b: 7.31528e-08, Loss_f: 1.10881e-05, Loss_prev: 3.61244e-07
Iter: 16400, Loss: 1.13971e-05, Loss0: 3.37708e-07, Loss_b: 6.75990e-08, Loss_f: 1.06287e-05, Loss_prev: 3.63113e-07
Iter: 16500, Loss: 1.09143e-05, Loss0: 3.06055e-07, Loss_b: 7.67640e-08, Loss_f: 1.01874e-05, Loss_prev: 3.44034e-07
Iter: 16600, Loss: 1.03327e-05, Loss0: 2.77785e-07, Loss_b: 7.30098e-08, Loss_f: 9.62380e-06, Loss_prev: 3.58084e-07
Iter: 16700, Loss: 9.89323e-06, Loss0: 2.52698e-07, Loss_b: 7.09844e-08, Loss_f: 9.21013e-06, Loss_prev: 3.59416e-07
Iter: 16800, Loss: 9.52938e-06, Loss0: 2.48780e-07, Loss_b: 7.25543e-08, Loss_f: 8.87012e-06, Loss_prev: 3.37933e-07
Iter: 16900, Loss: 9.16268e-06, Loss0: 2.30170e-07, Loss_b: 7.30878e-08, Loss_f: 8.51917e-06, Loss_prev: 3.40257e-07
Iter: 17000, Loss: 8.83607e-06, Loss0: 2.13546e-07, Loss_b: 6.81662e-08, Loss_f: 8.22366e-06, Loss_prev: 3.30704e-07
Iter: 17100, Loss: 8.51480e-06, Loss0: 2.08288e-07, Loss_b: 7.43305e-08, Loss_f: 7.94468e-06, Loss_prev: 2.87501e-07
