Start Training:
Iter: 11700, Loss: 5.84507e-02, Loss_0: 4.31324e-02, Loss_b: 1.73343e-05, Loss_f: 1.53010e-02
Iter: 11800, Loss: 5.71459e-02, Loss_0: 4.16515e-02, Loss_b: 9.85527e-06, Loss_f: 1.54845e-02
Iter: 11900, Loss: 5.53697e-02, Loss_0: 4.10045e-02, Loss_b: 1.69521e-05, Loss_f: 1.43482e-02
Iter: 12000, Loss: 3.04575e-01, Loss_0: 4.09273e-02, Loss_b: 7.25120e-06, Loss_f: 2.63641e-01
Iter: 12100, Loss: 2.21592e-01, Loss_0: 5.60260e-02, Loss_b: 5.06298e-05, Loss_f: 1.65516e-01
Iter: 12200, Loss: 5.59818e-02, Loss_0: 4.10109e-02, Loss_b: 1.30138e-05, Loss_f: 1.49578e-02
Iter: 12300, Loss: 6.04939e-02, Loss_0: 3.89827e-02, Loss_b: 1.37151e-05, Loss_f: 2.14974e-02
Iter: 12400, Loss: 8.70664e-02, Loss_0: 3.71730e-02, Loss_b: 6.89963e-06, Loss_f: 4.98864e-02
Iter: 12500, Loss: 8.09739e-02, Loss_0: 5.96942e-02, Loss_b: 4.08880e-05, Loss_f: 2.12389e-02
Iter: 12600, Loss: 6.24387e-02, Loss_0: 3.86009e-02, Loss_b: 7.57384e-06, Loss_f: 2.38303e-02
Iter: 12700, Loss: 5.79601e-02, Loss_0: 4.33486e-02, Loss_b: 1.91801e-05, Loss_f: 1.45923e-02
Iter: 12800, Loss: 1.14002e-01, Loss_0: 4.35294e-02, Loss_b: 7.08177e-06, Loss_f: 7.04654e-02
Iter: 12900, Loss: 4.97574e-02, Loss_0: 3.72689e-02, Loss_b: 1.44233e-05, Loss_f: 1.24740e-02
Iter: 13000, Loss: 4.75778e-02, Loss_0: 3.58636e-02, Loss_b: 1.78307e-05, Loss_f: 1.16964e-02
Iter: 13100, Loss: 5.13671e-02, Loss_0: 4.01813e-02, Loss_b: 2.17387e-05, Loss_f: 1.11641e-02
Iter: 13200, Loss: 5.47061e-02, Loss_0: 4.21194e-02, Loss_b: 2.04657e-05, Loss_f: 1.25663e-02
Iter: 13300, Loss: 7.31373e-02, Loss_0: 5.29478e-02, Loss_b: 3.34140e-05, Loss_f: 2.01561e-02
Iter: 13400, Loss: 1.96675e-01, Loss_0: 3.57264e-02, Loss_b: 9.15207e-06, Loss_f: 1.60940e-01
Iter: 13500, Loss: 1.64903e-01, Loss_0: 3.36997e-02, Loss_b: 3.15784e-05, Loss_f: 1.31172e-01
Iter: 13600, Loss: 7.74264e-02, Loss_0: 5.42698e-02, Loss_b: 5.12936e-05, Loss_f: 2.31052e-02
Iter: 13700, Loss: 5.85553e-02, Loss_0: 3.53600e-02, Loss_b: 2.64764e-05, Loss_f: 2.31688e-02
Iter: 13800, Loss: 9.89994e-02, Loss_0: 5.25681e-02, Loss_b: 6.54605e-06, Loss_f: 4.64248e-02
Iter: 13900, Loss: 1.64909e-01, Loss_0: 6.26329e-02, Loss_b: 5.18228e-05, Loss_f: 1.02224e-01
Iter: 14000, Loss: 4.54830e-02, Loss_0: 3.49125e-02, Loss_b: 1.52707e-05, Loss_f: 1.05552e-02
Iter: 14100, Loss: 4.39250e-02, Loss_0: 3.36027e-02, Loss_b: 1.33283e-05, Loss_f: 1.03089e-02
Iter: 14200, Loss: 4.79304e-02, Loss_0: 3.75493e-02, Loss_b: 1.79709e-05, Loss_f: 1.03632e-02
Iter: 14300, Loss: 1.16670e-01, Loss_0: 7.04786e-02, Loss_b: 4.94851e-05, Loss_f: 4.61423e-02
Iter: 14400, Loss: 4.52798e-02, Loss_0: 3.49429e-02, Loss_b: 1.59321e-05, Loss_f: 1.03210e-02
Iter: 14500, Loss: 5.70337e-02, Loss_0: 4.02183e-02, Loss_b: 1.31792e-05, Loss_f: 1.68022e-02
Iter: 14600, Loss: 4.73416e-02, Loss_0: 3.58081e-02, Loss_b: 1.41705e-05, Loss_f: 1.15194e-02
Iter: 14700, Loss: 5.36377e-02, Loss_0: 4.23546e-02, Loss_b: 2.33826e-05, Loss_f: 1.12597e-02
Iter: 14800, Loss: 7.92458e-02, Loss_0: 5.03446e-02, Loss_b: 1.69960e-05, Loss_f: 2.88842e-02
Iter: 14900, Loss: 1.06741e-01, Loss_0: 4.97309e-02, Loss_b: 6.78288e-06, Loss_f: 5.70031e-02
Iter: 15000, Loss: 6.06896e-02, Loss_0: 3.50533e-02, Loss_b: 6.98996e-05, Loss_f: 2.55664e-02
Iter: 15100, Loss: 4.99653e-02, Loss_0: 3.75800e-02, Loss_b: 7.93706e-06, Loss_f: 1.23773e-02
Iter: 15200, Loss: 7.04540e-02, Loss_0: 5.08273e-02, Loss_b: 1.94923e-05, Loss_f: 1.96073e-02
Iter: 15300, Loss: 4.17075e-02, Loss_0: 3.11507e-02, Loss_b: 1.19243e-05, Loss_f: 1.05448e-02
Iter: 15400, Loss: 4.50236e-02, Loss_0: 3.53549e-02, Loss_b: 1.98298e-05, Loss_f: 9.64889e-03
Iter: 15500, Loss: 5.00095e-02, Loss_0: 3.91159e-02, Loss_b: 1.16089e-05, Loss_f: 1.08820e-02
Iter: 15600, Loss: 1.05234e-01, Loss_0: 6.72600e-02, Loss_b: 1.30809e-05, Loss_f: 3.79606e-02
Iter: 15700, Loss: 4.24889e-02, Loss_0: 3.27946e-02, Loss_b: 1.48512e-05, Loss_f: 9.67953e-03
Iter: 15800, Loss: 4.39961e-02, Loss_0: 3.42892e-02, Loss_b: 2.27680e-05, Loss_f: 9.68418e-03
Iter: 15900, Loss: 4.79236e-02, Loss_0: 3.68071e-02, Loss_b: 1.13495e-05, Loss_f: 1.11051e-02
Iter: 16000, Loss: 5.63378e-02, Loss_0: 4.19335e-02, Loss_b: 2.88027e-05, Loss_f: 1.43754e-02
Iter: 16100, Loss: 4.93946e-02, Loss_0: 3.04213e-02, Loss_b: 8.65372e-06, Loss_f: 1.89647e-02
Iter: 16200, Loss: 1.00945e-01, Loss_0: 3.87810e-02, Loss_b: 1.37750e-04, Loss_f: 6.20267e-02
Iter: 16300, Loss: 5.57916e-02, Loss_0: 3.97160e-02, Loss_b: 7.46551e-06, Loss_f: 1.60682e-02
Iter: 16400, Loss: 8.28859e-02, Loss_0: 4.81190e-02, Loss_b: 1.66851e-05, Loss_f: 3.47502e-02
Iter: 16500, Loss: 6.97056e-02, Loss_0: 3.05734e-02, Loss_b: 1.09907e-05, Loss_f: 3.91212e-02
Iter: 16600, Loss: 7.98245e-02, Loss_0: 4.86914e-02, Loss_b: 2.63418e-05, Loss_f: 3.11068e-02
Iter: 16700, Loss: 2.95374e-01, Loss_0: 4.46870e-02, Loss_b: 1.24453e-05, Loss_f: 2.50675e-01
Iter: 16800, Loss: 4.12340e-02, Loss_0: 3.22953e-02, Loss_b: 1.90863e-05, Loss_f: 8.91953e-03
Iter: 16900, Loss: 5.98596e-02, Loss_0: 4.58771e-02, Loss_b: 9.50487e-06, Loss_f: 1.39730e-02
Iter: 17000, Loss: 3.68086e-02, Loss_0: 2.78885e-02, Loss_b: 1.31391e-05, Loss_f: 8.90690e-03
Iter: 17100, Loss: 4.42610e-02, Loss_0: 3.49411e-02, Loss_b: 3.10965e-05, Loss_f: 9.28884e-03
Iter: 17200, Loss: 3.96332e-02, Loss_0: 2.93247e-02, Loss_b: 2.03029e-05, Loss_f: 1.02882e-02
Iter: 17300, Loss: 3.89055e-02, Loss_0: 3.02425e-02, Loss_b: 2.05300e-05, Loss_f: 8.64245e-03
Iter: 17400, Loss: 4.54391e-02, Loss_0: 3.61137e-02, Loss_b: 1.95572e-05, Loss_f: 9.30587e-03
Iter: 17500, Loss: 1.02649e-01, Loss_0: 5.95161e-02, Loss_b: 1.92873e-04, Loss_f: 4.29403e-02
Iter: 17600, Loss: 3.62273e-02, Loss_0: 2.78051e-02, Loss_b: 1.47566e-05, Loss_f: 8.40745e-03
Iter: 17700, Loss: 4.78553e-02, Loss_0: 3.82902e-02, Loss_b: 2.11484e-05, Loss_f: 9.54389e-03
Iter: 17800, Loss: 1.51330e-01, Loss_0: 7.59293e-02, Loss_b: 3.07793e-05, Loss_f: 7.53697e-02
Iter: 17900, Loss: 3.93726e-02, Loss_0: 3.07268e-02, Loss_b: 1.63066e-05, Loss_f: 8.62949e-03
Iter: 18000, Loss: 6.92793e-02, Loss_0: 5.04186e-02, Loss_b: 6.15842e-05, Loss_f: 1.87991e-02
Iter: 18100, Loss: 3.69126e-02, Loss_0: 2.84483e-02, Loss_b: 1.48978e-05, Loss_f: 8.44938e-03
Iter: 18200, Loss: 4.69506e-02, Loss_0: 3.71825e-02, Loss_b: 1.93984e-05, Loss_f: 9.74872e-03
Iter: 18300, Loss: 8.52170e-02, Loss_0: 4.98582e-02, Loss_b: 1.70004e-05, Loss_f: 3.53418e-02
Iter: 18400, Loss: 6.21486e-02, Loss_0: 2.69775e-02, Loss_b: 1.48813e-05, Loss_f: 3.51562e-02
Iter: 18500, Loss: 5.06866e-02, Loss_0: 3.15391e-02, Loss_b: 9.68202e-06, Loss_f: 1.91378e-02
Iter: 18600, Loss: 4.58453e-02, Loss_0: 3.59305e-02, Loss_b: 1.52638e-05, Loss_f: 9.89956e-03
Iter: 18700, Loss: 1.10828e-01, Loss_0: 6.34645e-02, Loss_b: 1.61434e-05, Loss_f: 4.73475e-02
Iter: 18800, Loss: 3.47218e-02, Loss_0: 2.68169e-02, Loss_b: 1.43693e-05, Loss_f: 7.89050e-03
Iter: 18900, Loss: 4.54768e-02, Loss_0: 3.61245e-02, Loss_b: 1.74999e-05, Loss_f: 9.33486e-03
Iter: 19000, Loss: 5.86129e-02, Loss_0: 3.55732e-02, Loss_b: 1.04587e-05, Loss_f: 2.30293e-02
Iter: 19100, Loss: 5.22782e-02, Loss_0: 3.29623e-02, Loss_b: 1.21991e-05, Loss_f: 1.93036e-02
Iter: 19200, Loss: 4.97429e-02, Loss_0: 3.55443e-02, Loss_b: 1.74760e-05, Loss_f: 1.41811e-02
Iter: 19300, Loss: 6.70874e-02, Loss_0: 4.27009e-02, Loss_b: 4.37013e-05, Loss_f: 2.43428e-02
Iter: 19400, Loss: 8.10372e-02, Loss_0: 2.36119e-02, Loss_b: 1.28221e-05, Loss_f: 5.74125e-02
Iter: 19500, Loss: 3.43382e-02, Loss_0: 2.67309e-02, Loss_b: 1.63031e-05, Loss_f: 7.59107e-03
Iter: 19600, Loss: 3.52143e-02, Loss_0: 2.77344e-02, Loss_b: 1.97562e-05, Loss_f: 7.46015e-03
Iter: 19700, Loss: 3.27923e-02, Loss_0: 2.52401e-02, Loss_b: 1.25855e-05, Loss_f: 7.53964e-03
Iter: 19800, Loss: 4.58073e-02, Loss_0: 3.63501e-02, Loss_b: 1.99981e-05, Loss_f: 9.43719e-03
Iter: 19900, Loss: 8.83381e-02, Loss_0: 5.15337e-02, Loss_b: 1.16936e-05, Loss_f: 3.67927e-02
Iter: 20000, Loss: 3.93290e-02, Loss_0: 2.22351e-02, Loss_b: 1.35127e-05, Loss_f: 1.70805e-02
Iter: 20100, Loss: 3.00585e-02, Loss_0: 2.27995e-02, Loss_b: 1.56612e-05, Loss_f: 7.24337e-03
Iter: 20200, Loss: 3.30364e-02, Loss_0: 2.58357e-02, Loss_b: 1.52662e-05, Loss_f: 7.18546e-03
Iter: 20300, Loss: 3.85622e-02, Loss_0: 3.02388e-02, Loss_b: 1.47802e-05, Loss_f: 8.30866e-03
Iter: 20400, Loss: 7.61699e-02, Loss_0: 4.02564e-02, Loss_b: 8.60222e-06, Loss_f: 3.59049e-02
Iter: 20500, Loss: 3.56402e-02, Loss_0: 2.14842e-02, Loss_b: 1.70831e-05, Loss_f: 1.41389e-02
Iter: 20600, Loss: 3.74843e-02, Loss_0: 2.96420e-02, Loss_b: 1.82341e-05, Loss_f: 7.82408e-03
Iter: 20700, Loss: 6.22384e-02, Loss_0: 4.38096e-02, Loss_b: 2.42391e-05, Loss_f: 1.84045e-02
Iter: 20800, Loss: 3.06989e-02, Loss_0: 2.34939e-02, Loss_b: 1.43078e-05, Loss_f: 7.19075e-03
Iter: 20900, Loss: 3.48045e-02, Loss_0: 2.74114e-02, Loss_b: 1.96633e-05, Loss_f: 7.37343e-03
Iter: 21000, Loss: 4.68634e-02, Loss_0: 3.17834e-02, Loss_b: 1.13020e-05, Loss_f: 1.50687e-02
