Start Training:
Iter: 7600, Loss: 9.51263e-01, Loss0: 7.79103e-01, Loss_b: 5.18983e-04, Loss_f: 1.71641e-01, Loss_prev: 0.00000e+00
Iter: 7700, Loss: 7.28251e-01, Loss0: 6.18795e-01, Loss_b: 3.85324e-05, Loss_f: 1.09417e-01, Loss_prev: 0.00000e+00
Iter: 7800, Loss: 7.75176e-01, Loss0: 7.02233e-01, Loss_b: 7.84155e-05, Loss_f: 7.28646e-02, Loss_prev: 0.00000e+00
Iter: 7900, Loss: 1.24556e+00, Loss0: 1.06837e+00, Loss_b: 7.23492e-04, Loss_f: 1.76474e-01, Loss_prev: 0.00000e+00
Iter: 8000, Loss: 7.78537e-01, Loss0: 7.02398e-01, Loss_b: 6.34308e-05, Loss_f: 7.60755e-02, Loss_prev: 0.00000e+00
Iter: 8100, Loss: 8.29799e-01, Loss0: 6.94752e-01, Loss_b: 1.35597e-04, Loss_f: 1.34911e-01, Loss_prev: 0.00000e+00
Iter: 8200, Loss: 1.03235e+00, Loss0: 8.28825e-01, Loss_b: 1.89411e-03, Loss_f: 2.01634e-01, Loss_prev: 0.00000e+00
Iter: 8300, Loss: 6.89828e-01, Loss0: 6.08121e-01, Loss_b: 5.56829e-05, Loss_f: 8.16516e-02, Loss_prev: 0.00000e+00
Iter: 8400, Loss: 8.73794e-01, Loss0: 7.95559e-01, Loss_b: 5.51519e-05, Loss_f: 7.81798e-02, Loss_prev: 0.00000e+00
Iter: 8500, Loss: 6.78734e-01, Loss0: 5.92852e-01, Loss_b: 4.70260e-05, Loss_f: 8.58345e-02, Loss_prev: 0.00000e+00
Iter: 8600, Loss: 7.90250e-01, Loss0: 7.18073e-01, Loss_b: 3.38169e-05, Loss_f: 7.21437e-02, Loss_prev: 0.00000e+00
Iter: 8700, Loss: 9.25009e-01, Loss0: 6.10257e-01, Loss_b: 1.64661e-05, Loss_f: 3.14736e-01, Loss_prev: 0.00000e+00
Iter: 8800, Loss: 6.57965e-01, Loss0: 5.70669e-01, Loss_b: 3.56097e-05, Loss_f: 8.72604e-02, Loss_prev: 0.00000e+00
Iter: 8900, Loss: 7.40347e-01, Loss0: 6.69567e-01, Loss_b: 8.67701e-05, Loss_f: 7.06938e-02, Loss_prev: 0.00000e+00
Iter: 9000, Loss: 1.27114e+00, Loss0: 8.08399e-01, Loss_b: 4.05143e-04, Loss_f: 4.62335e-01, Loss_prev: 0.00000e+00
Iter: 9100, Loss: 7.05873e-01, Loss0: 6.34514e-01, Loss_b: 5.15155e-05, Loss_f: 7.13076e-02, Loss_prev: 0.00000e+00
Iter: 9200, Loss: 1.03434e+00, Loss0: 8.86998e-01, Loss_b: 9.56011e-04, Loss_f: 1.46382e-01, Loss_prev: 0.00000e+00
Iter: 9300, Loss: 6.78900e-01, Loss0: 6.04637e-01, Loss_b: 4.95828e-05, Loss_f: 7.42137e-02, Loss_prev: 0.00000e+00
Iter: 9400, Loss: 7.78328e-01, Loss0: 6.88898e-01, Loss_b: 3.48763e-05, Loss_f: 8.93949e-02, Loss_prev: 0.00000e+00
Iter: 9500, Loss: 1.80104e+00, Loss0: 7.49339e-01, Loss_b: 1.51561e-04, Loss_f: 1.05155e+00, Loss_prev: 0.00000e+00
Iter: 9600, Loss: 6.81226e-01, Loss0: 6.11429e-01, Loss_b: 3.94157e-05, Loss_f: 6.97577e-02, Loss_prev: 0.00000e+00
Iter: 9700, Loss: 1.08978e+00, Loss0: 8.55730e-01, Loss_b: 2.71909e-04, Loss_f: 2.33779e-01, Loss_prev: 0.00000e+00
Iter: 9800, Loss: 6.56252e-01, Loss0: 5.83306e-01, Loss_b: 4.23871e-05, Loss_f: 7.29028e-02, Loss_prev: 0.00000e+00
Iter: 9900, Loss: 6.96237e-01, Loss0: 6.23579e-01, Loss_b: 5.91734e-05, Loss_f: 7.25992e-02, Loss_prev: 0.00000e+00
Iter: 10000, Loss: 9.05802e-01, Loss0: 7.07912e-01, Loss_b: 1.21331e-04, Loss_f: 1.97769e-01, Loss_prev: 0.00000e+00
Iter: 10100, Loss: 5.30272e-01, Loss0: 4.13121e-01, Loss_b: 1.94223e-05, Loss_f: 1.17132e-01, Loss_prev: 0.00000e+00
Iter: 10200, Loss: 4.53891e-01, Loss0: 3.42492e-01, Loss_b: 6.49319e-05, Loss_f: 1.11335e-01, Loss_prev: 0.00000e+00
Iter: 10300, Loss: 4.09102e-01, Loss0: 3.06931e-01, Loss_b: 1.35397e-04, Loss_f: 1.02035e-01, Loss_prev: 0.00000e+00
Iter: 10400, Loss: 3.72292e-01, Loss0: 2.77558e-01, Loss_b: 2.29860e-04, Loss_f: 9.45038e-02, Loss_prev: 0.00000e+00
Iter: 10500, Loss: 3.41150e-01, Loss0: 2.36587e-01, Loss_b: 2.36647e-04, Loss_f: 1.04327e-01, Loss_prev: 0.00000e+00
Iter: 10600, Loss: 3.13367e-01, Loss0: 2.20974e-01, Loss_b: 8.12534e-05, Loss_f: 9.23119e-02, Loss_prev: 0.00000e+00
Iter: 10700, Loss: 2.88749e-01, Loss0: 2.08216e-01, Loss_b: 8.02341e-05, Loss_f: 8.04527e-02, Loss_prev: 0.00000e+00
Iter: 10800, Loss: 2.68676e-01, Loss0: 1.86056e-01, Loss_b: 9.47878e-05, Loss_f: 8.25257e-02, Loss_prev: 0.00000e+00
Iter: 10900, Loss: 2.54197e-01, Loss0: 1.69122e-01, Loss_b: 1.33785e-04, Loss_f: 8.49405e-02, Loss_prev: 0.00000e+00
Iter: 11000, Loss: 2.34099e-01, Loss0: 1.50936e-01, Loss_b: 1.11245e-04, Loss_f: 8.30516e-02, Loss_prev: 0.00000e+00
Iter: 11100, Loss: 2.15878e-01, Loss0: 1.36470e-01, Loss_b: 2.55118e-04, Loss_f: 7.91522e-02, Loss_prev: 0.00000e+00
Iter: 11200, Loss: 2.03766e-01, Loss0: 1.30099e-01, Loss_b: 9.94173e-05, Loss_f: 7.35678e-02, Loss_prev: 0.00000e+00
Iter: 11300, Loss: 1.92537e-01, Loss0: 1.27467e-01, Loss_b: 2.18517e-04, Loss_f: 6.48519e-02, Loss_prev: 0.00000e+00
Iter: 11400, Loss: 1.82099e-01, Loss0: 1.17611e-01, Loss_b: 3.53552e-04, Loss_f: 6.41349e-02, Loss_prev: 0.00000e+00
Iter: 11500, Loss: 1.67705e-01, Loss0: 1.03111e-01, Loss_b: 2.82982e-04, Loss_f: 6.43114e-02, Loss_prev: 0.00000e+00
Iter: 11600, Loss: 1.55053e-01, Loss0: 9.23175e-02, Loss_b: 2.42020e-04, Loss_f: 6.24937e-02, Loss_prev: 0.00000e+00
Iter: 11700, Loss: 1.45038e-01, Loss0: 8.61724e-02, Loss_b: 2.50139e-04, Loss_f: 5.86158e-02, Loss_prev: 0.00000e+00
Iter: 11800, Loss: 1.32435e-01, Loss0: 7.98249e-02, Loss_b: 2.93060e-04, Loss_f: 5.23173e-02, Loss_prev: 0.00000e+00
Iter: 11900, Loss: 1.22486e-01, Loss0: 7.26692e-02, Loss_b: 1.94031e-04, Loss_f: 4.96225e-02, Loss_prev: 0.00000e+00
Iter: 12000, Loss: 1.11679e-01, Loss0: 6.25572e-02, Loss_b: 2.97428e-04, Loss_f: 4.88248e-02, Loss_prev: 0.00000e+00
Iter: 12100, Loss: 9.68617e-02, Loss0: 5.54102e-02, Loss_b: 4.05607e-04, Loss_f: 4.10459e-02, Loss_prev: 0.00000e+00
Iter: 12200, Loss: 9.14945e-02, Loss0: 5.17457e-02, Loss_b: 2.17919e-04, Loss_f: 3.95308e-02, Loss_prev: 0.00000e+00
Iter: 12300, Loss: 8.41091e-02, Loss0: 4.66581e-02, Loss_b: 1.72739e-04, Loss_f: 3.72782e-02, Loss_prev: 0.00000e+00
Iter: 12400, Loss: 7.83336e-02, Loss0: 4.28274e-02, Loss_b: 1.32865e-04, Loss_f: 3.53734e-02, Loss_prev: 0.00000e+00
Iter: 12500, Loss: 7.23002e-02, Loss0: 3.91185e-02, Loss_b: 9.74265e-05, Loss_f: 3.30842e-02, Loss_prev: 0.00000e+00
Iter: 12600, Loss: 6.67879e-02, Loss0: 3.48193e-02, Loss_b: 9.13685e-05, Loss_f: 3.18773e-02, Loss_prev: 0.00000e+00
Iter: 12700, Loss: 6.27668e-02, Loss0: 3.36477e-02, Loss_b: 8.78090e-05, Loss_f: 2.90313e-02, Loss_prev: 0.00000e+00
Iter: 12800, Loss: 5.91217e-02, Loss0: 3.27294e-02, Loss_b: 1.67688e-04, Loss_f: 2.62247e-02, Loss_prev: 0.00000e+00
Iter: 12900, Loss: 5.67276e-02, Loss0: 3.05824e-02, Loss_b: 2.81505e-04, Loss_f: 2.58637e-02, Loss_prev: 0.00000e+00
Iter: 13000, Loss: 5.38096e-02, Loss0: 2.92796e-02, Loss_b: 3.53805e-04, Loss_f: 2.41762e-02, Loss_prev: 0.00000e+00
Iter: 13100, Loss: 5.10883e-02, Loss0: 2.78671e-02, Loss_b: 2.43097e-04, Loss_f: 2.29781e-02, Loss_prev: 0.00000e+00
Iter: 13200, Loss: 4.89471e-02, Loss0: 2.64369e-02, Loss_b: 2.13991e-04, Loss_f: 2.22962e-02, Loss_prev: 0.00000e+00
Iter: 13300, Loss: 4.68802e-02, Loss0: 2.54009e-02, Loss_b: 1.26225e-04, Loss_f: 2.13531e-02, Loss_prev: 0.00000e+00
Iter: 13400, Loss: 4.55857e-02, Loss0: 2.44320e-02, Loss_b: 9.75906e-05, Loss_f: 2.10561e-02, Loss_prev: 0.00000e+00
Iter: 13500, Loss: 4.39495e-02, Loss0: 2.38347e-02, Loss_b: 5.42763e-05, Loss_f: 2.00605e-02, Loss_prev: 0.00000e+00
Iter: 13600, Loss: 4.16464e-02, Loss0: 2.19458e-02, Loss_b: 3.00828e-05, Loss_f: 1.96705e-02, Loss_prev: 0.00000e+00
Iter: 13700, Loss: 3.98302e-02, Loss0: 2.05020e-02, Loss_b: 2.23013e-05, Loss_f: 1.93058e-02, Loss_prev: 0.00000e+00
Iter: 13800, Loss: 3.82770e-02, Loss0: 1.87541e-02, Loss_b: 3.60498e-05, Loss_f: 1.94869e-02, Loss_prev: 0.00000e+00
Iter: 13900, Loss: 3.68808e-02, Loss0: 1.67948e-02, Loss_b: 9.57398e-06, Loss_f: 2.00765e-02, Loss_prev: 0.00000e+00
Iter: 14000, Loss: 3.60000e-02, Loss0: 1.58415e-02, Loss_b: 3.77405e-05, Loss_f: 2.01207e-02, Loss_prev: 0.00000e+00
Iter: 14100, Loss: 3.46494e-02, Loss0: 1.48156e-02, Loss_b: 7.80137e-05, Loss_f: 1.97559e-02, Loss_prev: 0.00000e+00
Iter: 14200, Loss: 3.31551e-02, Loss0: 1.44275e-02, Loss_b: 1.37715e-04, Loss_f: 1.85899e-02, Loss_prev: 0.00000e+00
Iter: 14300, Loss: 3.15915e-02, Loss0: 1.38147e-02, Loss_b: 1.28801e-04, Loss_f: 1.76479e-02, Loss_prev: 0.00000e+00
Iter: 14400, Loss: 3.01759e-02, Loss0: 1.31222e-02, Loss_b: 1.00748e-04, Loss_f: 1.69529e-02, Loss_prev: 0.00000e+00
Iter: 14500, Loss: 2.83921e-02, Loss0: 1.28946e-02, Loss_b: 3.64596e-05, Loss_f: 1.54610e-02, Loss_prev: 0.00000e+00
Iter: 14600, Loss: 2.71001e-02, Loss0: 1.28468e-02, Loss_b: 1.96934e-05, Loss_f: 1.42336e-02, Loss_prev: 0.00000e+00
Iter: 14700, Loss: 2.60118e-02, Loss0: 1.26237e-02, Loss_b: 1.56087e-05, Loss_f: 1.33725e-02, Loss_prev: 0.00000e+00
Iter: 14800, Loss: 2.48949e-02, Loss0: 1.23374e-02, Loss_b: 1.52294e-05, Loss_f: 1.25423e-02, Loss_prev: 0.00000e+00
Iter: 14900, Loss: 2.37546e-02, Loss0: 1.17229e-02, Loss_b: 7.58064e-06, Loss_f: 1.20242e-02, Loss_prev: 0.00000e+00
Iter: 15000, Loss: 2.26711e-02, Loss0: 1.13450e-02, Loss_b: 9.39825e-06, Loss_f: 1.13166e-02, Loss_prev: 0.00000e+00
Iter: 15100, Loss: 2.18993e-02, Loss0: 1.10575e-02, Loss_b: 1.59450e-05, Loss_f: 1.08258e-02, Loss_prev: 0.00000e+00
Iter: 15200, Loss: 2.12642e-02, Loss0: 1.05568e-02, Loss_b: 2.18901e-05, Loss_f: 1.06854e-02, Loss_prev: 0.00000e+00
Iter: 15300, Loss: 2.04173e-02, Loss0: 1.01305e-02, Loss_b: 1.92660e-05, Loss_f: 1.02675e-02, Loss_prev: 0.00000e+00
Iter: 15400, Loss: 1.96418e-02, Loss0: 9.65254e-03, Loss_b: 1.36450e-05, Loss_f: 9.97557e-03, Loss_prev: 0.00000e+00
Iter: 15500, Loss: 1.91381e-02, Loss0: 9.29359e-03, Loss_b: 1.05177e-05, Loss_f: 9.83403e-03, Loss_prev: 0.00000e+00
Iter: 15600, Loss: 1.83966e-02, Loss0: 8.70214e-03, Loss_b: 6.29419e-06, Loss_f: 9.68819e-03, Loss_prev: 0.00000e+00
Iter: 15700, Loss: 1.77073e-02, Loss0: 8.21131e-03, Loss_b: 3.23211e-05, Loss_f: 9.46364e-03, Loss_prev: 0.00000e+00
Iter: 15800, Loss: 1.68619e-02, Loss0: 7.77600e-03, Loss_b: 1.76617e-05, Loss_f: 9.06825e-03, Loss_prev: 0.00000e+00
Iter: 15900, Loss: 1.60791e-02, Loss0: 7.36519e-03, Loss_b: 2.35531e-06, Loss_f: 8.71158e-03, Loss_prev: 0.00000e+00
Iter: 16000, Loss: 1.54109e-02, Loss0: 6.83311e-03, Loss_b: 1.49366e-05, Loss_f: 8.56288e-03, Loss_prev: 0.00000e+00
Iter: 16100, Loss: 1.45378e-02, Loss0: 6.29914e-03, Loss_b: 1.25079e-05, Loss_f: 8.22616e-03, Loss_prev: 0.00000e+00
Iter: 16200, Loss: 1.36889e-02, Loss0: 5.70652e-03, Loss_b: 4.77470e-05, Loss_f: 7.93463e-03, Loss_prev: 0.00000e+00
Iter: 16300, Loss: 1.28680e-02, Loss0: 5.19417e-03, Loss_b: 4.60406e-05, Loss_f: 7.62781e-03, Loss_prev: 0.00000e+00
Iter: 16400, Loss: 1.21602e-02, Loss0: 4.75002e-03, Loss_b: 3.18182e-05, Loss_f: 7.37837e-03, Loss_prev: 0.00000e+00
Iter: 16500, Loss: 1.14423e-02, Loss0: 4.52500e-03, Loss_b: 1.89512e-05, Loss_f: 6.89831e-03, Loss_prev: 0.00000e+00
Iter: 16600, Loss: 1.08097e-02, Loss0: 4.14112e-03, Loss_b: 2.89894e-05, Loss_f: 6.63955e-03, Loss_prev: 0.00000e+00
Iter: 16700, Loss: 1.02096e-02, Loss0: 3.84134e-03, Loss_b: 1.86474e-05, Loss_f: 6.34962e-03, Loss_prev: 0.00000e+00
