Start Training:
Iter: 13300, Loss: 7.90965e-01, Loss_0: 7.67194e-01, Loss_1: 1.64042e-02, Loss_b: 5.22855e-06, Loss_f: 7.36171e-03
Iter: 13400, Loss: 7.90084e-01, Loss_0: 7.66877e-01, Loss_1: 1.62664e-02, Loss_b: 8.64669e-06, Loss_f: 6.93190e-03
Iter: 13500, Loss: 7.89280e-01, Loss_0: 7.66555e-01, Loss_1: 1.61080e-02, Loss_b: 1.80422e-05, Loss_f: 6.59981e-03
Iter: 13600, Loss: 7.88288e-01, Loss_0: 7.65960e-01, Loss_1: 1.58289e-02, Loss_b: 1.76949e-05, Loss_f: 6.48178e-03
Iter: 13700, Loss: 7.87523e-01, Loss_0: 7.65573e-01, Loss_1: 1.57232e-02, Loss_b: 2.92009e-06, Loss_f: 6.22400e-03
Iter: 13800, Loss: 7.86857e-01, Loss_0: 7.65247e-01, Loss_1: 1.56519e-02, Loss_b: 6.92067e-06, Loss_f: 5.95155e-03
Iter: 13900, Loss: 7.86175e-01, Loss_0: 7.64973e-01, Loss_1: 1.55045e-02, Loss_b: 9.19976e-06, Loss_f: 5.68893e-03
Iter: 14000, Loss: 7.85597e-01, Loss_0: 7.64646e-01, Loss_1: 1.51235e-02, Loss_b: 2.15565e-06, Loss_f: 5.82481e-03
Iter: 14100, Loss: 7.84885e-01, Loss_0: 7.64328e-01, Loss_1: 1.48206e-02, Loss_b: 5.71564e-06, Loss_f: 5.73050e-03
Iter: 14200, Loss: 7.84287e-01, Loss_0: 7.63986e-01, Loss_1: 1.46431e-02, Loss_b: 1.81877e-06, Loss_f: 5.65613e-03
Iter: 14300, Loss: 7.83739e-01, Loss_0: 7.63742e-01, Loss_1: 1.44907e-02, Loss_b: 3.76425e-06, Loss_f: 5.50229e-03
Iter: 14400, Loss: 7.83073e-01, Loss_0: 7.63212e-01, Loss_1: 1.42391e-02, Loss_b: 8.54809e-06, Loss_f: 5.61401e-03
