Start Training:
Iter: 8600, Loss: 6.08648e-04, Loss_0: 1.61517e-05, Loss_1: 4.88975e-05, Loss_b: 1.77038e-04, Loss_f: 3.66561e-04
Iter: 8700, Loss: 3.25411e-05, Loss_0: 2.02783e-06, Loss_1: 5.99602e-06, Loss_b: 1.11737e-07, Loss_f: 2.44056e-05
Iter: 8800, Loss: 5.87898e-04, Loss_0: 5.73650e-05, Loss_1: 8.01846e-05, Loss_b: 2.14975e-04, Loss_f: 2.35373e-04
Iter: 8900, Loss: 3.47134e-04, Loss_0: 8.63398e-06, Loss_1: 2.45157e-05, Loss_b: 1.10533e-04, Loss_f: 2.03451e-04
Iter: 9000, Loss: 3.42240e-04, Loss_0: 1.12432e-05, Loss_1: 4.29731e-05, Loss_b: 1.55550e-04, Loss_f: 1.32475e-04
Iter: 9100, Loss: 1.41675e-05, Loss_0: 9.36395e-08, Loss_1: 5.51933e-06, Loss_b: 1.98532e-06, Loss_f: 6.56923e-06
Iter: 9200, Loss: 2.16182e-04, Loss_0: 2.85940e-06, Loss_1: 2.66263e-05, Loss_b: 9.10950e-05, Loss_f: 9.56011e-05
Iter: 9300, Loss: 1.03674e-04, Loss_0: 2.58218e-06, Loss_1: 1.17542e-05, Loss_b: 2.70912e-05, Loss_f: 6.22468e-05
Iter: 9400, Loss: 2.79251e-04, Loss_0: 3.86730e-07, Loss_1: 3.25631e-05, Loss_b: 1.14328e-04, Loss_f: 1.31973e-04
Iter: 9500, Loss: 1.75776e-04, Loss_0: 6.64021e-06, Loss_1: 1.49997e-05, Loss_b: 3.83610e-05, Loss_f: 1.15775e-04
Iter: 9600, Loss: 4.41803e-05, Loss_0: 1.80856e-06, Loss_1: 8.27937e-06, Loss_b: 1.33270e-05, Loss_f: 2.07654e-05
Iter: 9700, Loss: 7.50174e-05, Loss_0: 4.31345e-07, Loss_1: 1.19709e-05, Loss_b: 2.61176e-05, Loss_f: 3.64976e-05
Iter: 9800, Loss: 4.18460e-05, Loss_0: 4.55868e-06, Loss_1: 6.20837e-06, Loss_b: 5.33082e-09, Loss_f: 3.10736e-05
Iter: 9900, Loss: 3.97357e-05, Loss_0: 4.08973e-06, Loss_1: 7.05608e-06, Loss_b: 3.65529e-06, Loss_f: 2.49346e-05
Iter: 10000, Loss: 2.81656e-05, Loss_0: 1.52222e-06, Loss_1: 6.21900e-06, Loss_b: 5.13016e-06, Loss_f: 1.52942e-05
Iter: 10100, Loss: 5.46333e-06, Loss_0: 7.72865e-08, Loss_1: 1.36814e-06, Loss_b: 1.95945e-09, Loss_f: 4.01594e-06
Training time: 1146.9935
