Start Training:
Iter: 11300, Loss: 2.98909e-05, Loss_0: 2.49043e-05, Loss_1: 7.08574e-07, Loss_b: 9.61961e-07, Loss_f: 3.31604e-06
Iter: 11400, Loss: 1.72441e-04, Loss_0: 2.54994e-05, Loss_1: 2.36979e-05, Loss_b: 8.41017e-05, Loss_f: 3.91416e-05
Iter: 11500, Loss: 4.05519e-05, Loss_0: 2.86195e-05, Loss_1: 1.15399e-06, Loss_b: 6.39738e-06, Loss_f: 4.38104e-06
Iter: 11600, Loss: 2.98111e-05, Loss_0: 2.49059e-05, Loss_1: 6.78020e-07, Loss_b: 1.00032e-06, Loss_f: 3.22688e-06
Iter: 11700, Loss: 3.42126e-05, Loss_0: 2.68818e-05, Loss_1: 7.09719e-07, Loss_b: 1.15263e-06, Loss_f: 5.46840e-06
Iter: 11800, Loss: 2.97201e-05, Loss_0: 2.49068e-05, Loss_1: 6.48116e-07, Loss_b: 9.73969e-07, Loss_f: 3.19120e-06
Iter: 11900, Loss: 4.75812e-05, Loss_0: 2.64083e-05, Loss_1: 1.36680e-06, Loss_b: 8.35222e-06, Loss_f: 1.14538e-05
Iter: 12000, Loss: 3.34440e-05, Loss_0: 2.51572e-05, Loss_1: 2.75739e-06, Loss_b: 8.14916e-07, Loss_f: 4.71446e-06
Iter: 12100, Loss: 3.24023e-05, Loss_0: 2.52638e-05, Loss_1: 9.54678e-07, Loss_b: 1.67094e-06, Loss_f: 4.51282e-06
Iter: 12200, Loss: 1.31212e-04, Loss_0: 5.72699e-05, Loss_1: 8.38241e-06, Loss_b: 4.64645e-05, Loss_f: 1.90949e-05
Iter: 12300, Loss: 2.95824e-05, Loss_0: 2.49088e-05, Loss_1: 6.07628e-07, Loss_b: 1.00390e-06, Loss_f: 3.06203e-06
Iter: 12400, Loss: 6.58283e-05, Loss_0: 5.07598e-05, Loss_1: 4.26882e-06, Loss_b: 4.04137e-06, Loss_f: 6.75830e-06
Iter: 12500, Loss: 2.95151e-05, Loss_0: 2.49061e-05, Loss_1: 5.82473e-07, Loss_b: 1.00021e-06, Loss_f: 3.02633e-06
Iter: 12600, Loss: 5.23117e-05, Loss_0: 2.93190e-05, Loss_1: 3.22506e-06, Loss_b: 6.09214e-06, Loss_f: 1.36755e-05
Iter: 12700, Loss: 2.94592e-05, Loss_0: 2.49223e-05, Loss_1: 5.73758e-07, Loss_b: 9.88645e-07, Loss_f: 2.97453e-06
Iter: 12800, Loss: 3.23659e-05, Loss_0: 2.57270e-05, Loss_1: 7.58057e-07, Loss_b: 2.40491e-06, Loss_f: 3.47593e-06
Iter: 12900, Loss: 7.94676e-05, Loss_0: 2.58046e-05, Loss_1: 4.96001e-06, Loss_b: 4.12891e-05, Loss_f: 7.41387e-06
Iter: 13000, Loss: 4.75769e-05, Loss_0: 3.38754e-05, Loss_1: 3.02453e-06, Loss_b: 3.06040e-06, Loss_f: 7.61663e-06
Iter: 13100, Loss: 3.22283e-05, Loss_0: 2.52913e-05, Loss_1: 5.25353e-07, Loss_b: 2.08451e-06, Loss_f: 4.32712e-06
