Start Training:
Iter: 9100, Loss: 6.67035e-03, Loss_0: 4.85952e-03, Loss_1: 1.04851e-03, Loss_b: 6.88308e-04, Loss_f: 7.40127e-05
Iter: 9200, Loss: 5.77025e-03, Loss_0: 4.78031e-03, Loss_1: 9.28264e-04, Loss_b: 1.22301e-06, Loss_f: 6.04546e-05
Iter: 9300, Loss: 5.75196e-03, Loss_0: 4.77611e-03, Loss_1: 9.14118e-04, Loss_b: 1.46448e-06, Loss_f: 6.02668e-05
Iter: 9400, Loss: 5.74010e-03, Loss_0: 4.77487e-03, Loss_1: 9.01192e-04, Loss_b: 3.37133e-06, Loss_f: 6.06657e-05
Iter: 9500, Loss: 5.72998e-03, Loss_0: 4.77297e-03, Loss_1: 8.96034e-04, Loss_b: 4.44517e-06, Loss_f: 5.65359e-05
Iter: 9600, Loss: 5.71036e-03, Loss_0: 4.77014e-03, Loss_1: 8.81048e-04, Loss_b: 1.75947e-06, Loss_f: 5.74141e-05
Iter: 9700, Loss: 5.73951e-03, Loss_0: 4.79394e-03, Loss_1: 8.82986e-04, Loss_b: 9.88566e-06, Loss_f: 5.26959e-05
Iter: 9800, Loss: 5.68768e-03, Loss_0: 4.76809e-03, Loss_1: 8.62272e-04, Loss_b: 1.87495e-06, Loss_f: 5.54400e-05
Iter: 9900, Loss: 5.67376e-03, Loss_0: 4.76684e-03, Loss_1: 8.49521e-04, Loss_b: 1.98482e-06, Loss_f: 5.54156e-05
Iter: 10000, Loss: 5.67456e-03, Loss_0: 4.76861e-03, Loss_1: 8.47563e-04, Loss_b: 6.39873e-06, Loss_f: 5.19944e-05
Iter: 10100, Loss: 5.65105e-03, Loss_0: 4.76534e-03, Loss_1: 8.29928e-04, Loss_b: 1.94990e-06, Loss_f: 5.38345e-05
Iter: 10200, Loss: 5.63902e-03, Loss_0: 4.76538e-03, Loss_1: 8.15230e-04, Loss_b: 3.51540e-06, Loss_f: 5.49042e-05
Iter: 10300, Loss: 6.16367e-03, Loss_0: 4.81449e-03, Loss_1: 8.97107e-04, Loss_b: 3.94549e-04, Loss_f: 5.75200e-05
Iter: 10400, Loss: 5.60368e-03, Loss_0: 4.76298e-03, Loss_1: 7.85767e-04, Loss_b: 1.74579e-06, Loss_f: 5.31938e-05
Iter: 10500, Loss: 5.82381e-03, Loss_0: 4.77717e-03, Loss_1: 7.93881e-04, Loss_b: 1.92685e-04, Loss_f: 6.00758e-05
Iter: 10600, Loss: 5.56216e-03, Loss_0: 4.76167e-03, Loss_1: 7.44505e-04, Loss_b: 1.60252e-06, Loss_f: 5.43908e-05
Iter: 10700, Loss: 5.52609e-03, Loss_0: 4.76012e-03, Loss_1: 7.06634e-04, Loss_b: 1.54348e-06, Loss_f: 5.77932e-05
Iter: 10800, Loss: 5.49334e-03, Loss_0: 4.76001e-03, Loss_1: 6.74645e-04, Loss_b: 2.76683e-06, Loss_f: 5.59176e-05
Iter: 10900, Loss: 5.42615e-03, Loss_0: 4.75734e-03, Loss_1: 6.02714e-04, Loss_b: 1.28317e-06, Loss_f: 6.48157e-05
Iter: 11000, Loss: 5.39728e-03, Loss_0: 4.75827e-03, Loss_1: 5.51486e-04, Loss_b: 2.16026e-05, Loss_f: 6.59232e-05
Iter: 11100, Loss: 5.26745e-03, Loss_0: 4.75280e-03, Loss_1: 4.38314e-04, Loss_b: 1.06722e-06, Loss_f: 7.52687e-05
Iter: 11200, Loss: 5.16409e-03, Loss_0: 4.74869e-03, Loss_1: 3.35080e-04, Loss_b: 1.04248e-06, Loss_f: 7.92785e-05
Iter: 11300, Loss: 5.11378e-03, Loss_0: 4.74591e-03, Loss_1: 2.90389e-04, Loss_b: 1.05093e-06, Loss_f: 7.64364e-05
Iter: 11400, Loss: 5.05351e-03, Loss_0: 4.74090e-03, Loss_1: 2.39602e-04, Loss_b: 1.02098e-06, Loss_f: 7.19885e-05
Iter: 11500, Loss: 5.01457e-03, Loss_0: 4.73699e-03, Loss_1: 2.11463e-04, Loss_b: 9.39094e-07, Loss_f: 6.51745e-05
Iter: 11600, Loss: 5.02987e-03, Loss_0: 4.73804e-03, Loss_1: 2.08200e-04, Loss_b: 2.20417e-05, Loss_f: 6.15880e-05
Iter: 11700, Loss: 4.97103e-03, Loss_0: 4.73091e-03, Loss_1: 1.82766e-04, Loss_b: 6.15609e-07, Loss_f: 5.67390e-05
Iter: 11800, Loss: 4.96092e-03, Loss_0: 4.72862e-03, Loss_1: 1.78004e-04, Loss_b: 8.72969e-07, Loss_f: 5.34257e-05
