Start Training:
Iter: 8800, Loss: 2.51775e-04, Loss_0: 4.66139e-05, Loss_b: 5.06291e-08, Loss_f: 1.28731e-05, Loss_s: 1.92238e-04
Iter: 8900, Loss: 2.49939e-04, Loss_0: 4.53617e-05, Loss_b: 8.58965e-09, Loss_f: 1.27295e-05, Loss_s: 1.91839e-04
Iter: 9000, Loss: 2.49996e-04, Loss_0: 4.70454e-05, Loss_b: 8.95008e-07, Loss_f: 1.25692e-05, Loss_s: 1.89486e-04
Iter: 9100, Loss: 2.59726e-04, Loss_0: 5.27852e-05, Loss_b: 6.08524e-06, Loss_f: 1.48708e-05, Loss_s: 1.85985e-04
Iter: 9200, Loss: 2.44810e-04, Loss_0: 4.31889e-05, Loss_b: 1.86642e-07, Loss_f: 1.22008e-05, Loss_s: 1.89233e-04
Iter: 9300, Loss: 2.43223e-04, Loss_0: 4.30857e-05, Loss_b: 1.67188e-07, Loss_f: 1.20007e-05, Loss_s: 1.87969e-04
Iter: 9400, Loss: 2.40872e-04, Loss_0: 4.25679e-05, Loss_b: 3.74832e-08, Loss_f: 1.20302e-05, Loss_s: 1.86237e-04
Iter: 9500, Loss: 2.40879e-04, Loss_0: 4.45187e-05, Loss_b: 5.42911e-07, Loss_f: 1.23329e-05, Loss_s: 1.83484e-04
Iter: 9600, Loss: 2.37490e-04, Loss_0: 4.15394e-05, Loss_b: 6.42868e-08, Loss_f: 1.21473e-05, Loss_s: 1.83739e-04
Iter: 9700, Loss: 1.40231e-03, Loss_0: 1.18369e-04, Loss_b: 8.72406e-04, Loss_f: 5.73479e-05, Loss_s: 3.54183e-04
Iter: 9800, Loss: 2.34520e-04, Loss_0: 4.05424e-05, Loss_b: 1.32860e-07, Loss_f: 1.22652e-05, Loss_s: 1.81580e-04
Iter: 9900, Loss: 2.32658e-04, Loss_0: 4.00729e-05, Loss_b: 1.00371e-07, Loss_f: 1.23561e-05, Loss_s: 1.80129e-04
Iter: 10000, Loss: 2.70256e-04, Loss_0: 3.83637e-05, Loss_b: 1.79816e-05, Loss_f: 1.68331e-05, Loss_s: 1.97078e-04
Iter: 10100, Loss: 2.08140e-04, Loss_0: 3.17940e-05, Loss_b: 6.41453e-07, Loss_f: 1.84262e-05, Loss_s: 1.57279e-04
Iter: 10200, Loss: 1.71800e-04, Loss_0: 2.43736e-05, Loss_b: 2.52620e-07, Loss_f: 1.55818e-05, Loss_s: 1.31592e-04
Iter: 10300, Loss: 1.29543e-04, Loss_0: 1.12987e-05, Loss_b: 6.55089e-08, Loss_f: 1.16402e-05, Loss_s: 1.06539e-04
Iter: 10400, Loss: 1.17580e-04, Loss_0: 1.02884e-05, Loss_b: 8.64291e-08, Loss_f: 1.01859e-05, Loss_s: 9.70190e-05
Iter: 10500, Loss: 1.06022e-04, Loss_0: 8.60120e-06, Loss_b: 3.58420e-07, Loss_f: 7.14375e-06, Loss_s: 8.99190e-05
Iter: 10600, Loss: 9.98075e-05, Loss_0: 7.03099e-06, Loss_b: 1.39785e-07, Loss_f: 6.01975e-06, Loss_s: 8.66169e-05
Iter: 10700, Loss: 9.44791e-05, Loss_0: 5.76860e-06, Loss_b: 2.94489e-08, Loss_f: 7.86874e-06, Loss_s: 8.08123e-05
Iter: 10800, Loss: 8.56798e-05, Loss_0: 5.81995e-06, Loss_b: 1.87371e-07, Loss_f: 4.65309e-06, Loss_s: 7.50194e-05
Iter: 10900, Loss: 8.12921e-05, Loss_0: 4.44519e-06, Loss_b: 1.18684e-07, Loss_f: 4.90171e-06, Loss_s: 7.18265e-05
Iter: 11000, Loss: 7.85109e-05, Loss_0: 4.32502e-06, Loss_b: 1.47337e-07, Loss_f: 4.40424e-06, Loss_s: 6.96343e-05
Iter: 11100, Loss: 7.49375e-05, Loss_0: 3.90671e-06, Loss_b: 2.26267e-07, Loss_f: 3.96521e-06, Loss_s: 6.68393e-05
Iter: 11200, Loss: 7.21729e-05, Loss_0: 3.71286e-06, Loss_b: 5.48073e-08, Loss_f: 3.91994e-06, Loss_s: 6.44853e-05
Iter: 11300, Loss: 7.08410e-05, Loss_0: 3.59982e-06, Loss_b: 1.64449e-07, Loss_f: 3.87446e-06, Loss_s: 6.32022e-05
Iter: 11400, Loss: 6.90151e-05, Loss_0: 3.14035e-06, Loss_b: 2.94381e-08, Loss_f: 3.78294e-06, Loss_s: 6.20624e-05
Iter: 11500, Loss: 6.68307e-05, Loss_0: 3.15515e-06, Loss_b: 1.60006e-08, Loss_f: 3.46287e-06, Loss_s: 6.01967e-05
Iter: 11600, Loss: 6.59232e-05, Loss_0: 3.18133e-06, Loss_b: 2.79438e-08, Loss_f: 4.34277e-06, Loss_s: 5.83712e-05
Iter: 11700, Loss: 6.38491e-05, Loss_0: 2.91017e-06, Loss_b: 1.53743e-08, Loss_f: 3.61677e-06, Loss_s: 5.73068e-05
Iter: 11800, Loss: 6.21292e-05, Loss_0: 2.82766e-06, Loss_b: 5.19565e-08, Loss_f: 2.64815e-06, Loss_s: 5.66015e-05
Iter: 11900, Loss: 6.08539e-05, Loss_0: 2.44521e-06, Loss_b: 1.21885e-07, Loss_f: 2.77360e-06, Loss_s: 5.55132e-05
Iter: 12000, Loss: 5.93943e-05, Loss_0: 2.28949e-06, Loss_b: 2.03754e-07, Loss_f: 2.43551e-06, Loss_s: 5.44656e-05
Iter: 12100, Loss: 5.76724e-05, Loss_0: 2.31317e-06, Loss_b: 9.20636e-08, Loss_f: 1.65160e-06, Loss_s: 5.36156e-05
Iter: 12200, Loss: 5.67729e-05, Loss_0: 2.24964e-06, Loss_b: 6.27940e-08, Loss_f: 1.62735e-06, Loss_s: 5.28331e-05
Iter: 12300, Loss: 5.60498e-05, Loss_0: 2.14855e-06, Loss_b: 5.40197e-08, Loss_f: 1.50094e-06, Loss_s: 5.23463e-05
Iter: 12400, Loss: 5.52853e-05, Loss_0: 2.05991e-06, Loss_b: 7.39949e-08, Loss_f: 1.60098e-06, Loss_s: 5.15504e-05
Iter: 12500, Loss: 5.55622e-05, Loss_0: 2.29898e-06, Loss_b: 1.19267e-07, Loss_f: 1.88255e-06, Loss_s: 5.12614e-05
Iter: 12600, Loss: 5.45136e-05, Loss_0: 2.14384e-06, Loss_b: 9.24704e-08, Loss_f: 1.51523e-06, Loss_s: 5.07621e-05
Iter: 12700, Loss: 5.41914e-05, Loss_0: 2.01836e-06, Loss_b: 1.16801e-07, Loss_f: 1.38584e-06, Loss_s: 5.06704e-05
Iter: 12800, Loss: 5.36217e-05, Loss_0: 2.11299e-06, Loss_b: 7.02977e-08, Loss_f: 1.20484e-06, Loss_s: 5.02336e-05
Iter: 12900, Loss: 5.31154e-05, Loss_0: 1.97648e-06, Loss_b: 3.64951e-08, Loss_f: 1.19139e-06, Loss_s: 4.99111e-05
Iter: 13000, Loss: 5.23501e-05, Loss_0: 1.99225e-06, Loss_b: 2.31924e-08, Loss_f: 9.10098e-07, Loss_s: 4.94245e-05
Iter: 13100, Loss: 5.17775e-05, Loss_0: 1.86530e-06, Loss_b: 2.30689e-08, Loss_f: 8.39152e-07, Loss_s: 4.90500e-05
Iter: 13200, Loss: 5.13209e-05, Loss_0: 1.84463e-06, Loss_b: 2.11650e-08, Loss_f: 7.43487e-07, Loss_s: 4.87116e-05
Iter: 13300, Loss: 5.09350e-05, Loss_0: 1.83703e-06, Loss_b: 2.39722e-08, Loss_f: 6.88030e-07, Loss_s: 4.83860e-05
Iter: 13400, Loss: 5.04938e-05, Loss_0: 1.82092e-06, Loss_b: 3.63918e-08, Loss_f: 5.23128e-07, Loss_s: 4.81134e-05
Iter: 13500, Loss: 5.02505e-05, Loss_0: 1.76362e-06, Loss_b: 3.10317e-08, Loss_f: 5.77177e-07, Loss_s: 4.78787e-05
Iter: 13600, Loss: 5.00640e-05, Loss_0: 1.80839e-06, Loss_b: 3.16564e-08, Loss_f: 6.09245e-07, Loss_s: 4.76148e-05
Iter: 13700, Loss: 4.98977e-05, Loss_0: 1.66443e-06, Loss_b: 2.33082e-08, Loss_f: 6.16720e-07, Loss_s: 4.75933e-05
Iter: 13800, Loss: 4.97339e-05, Loss_0: 1.71216e-06, Loss_b: 2.38620e-08, Loss_f: 6.61881e-07, Loss_s: 4.73360e-05
Iter: 13900, Loss: 4.95021e-05, Loss_0: 1.64607e-06, Loss_b: 2.44554e-08, Loss_f: 6.43868e-07, Loss_s: 4.71877e-05
Iter: 14000, Loss: 4.92947e-05, Loss_0: 1.65447e-06, Loss_b: 3.00585e-08, Loss_f: 5.97239e-07, Loss_s: 4.70129e-05
Iter: 14100, Loss: 4.91982e-05, Loss_0: 1.61880e-06, Loss_b: 3.26980e-08, Loss_f: 5.81058e-07, Loss_s: 4.69657e-05
Training time: 1363.6873
