Start Training:
Iter: 8100, Loss: 8.26905e-04, Loss0: 6.89416e-04, Loss_b: 5.47438e-06, Loss_f: 1.32014e-04, Loss_prev: 0.00000e+00
Iter: 8200, Loss: 3.92380e-03, Loss0: 1.16030e-03, Loss_b: 2.33196e-03, Loss_f: 4.31545e-04, Loss_prev: 0.00000e+00
Iter: 8300, Loss: 9.17734e-04, Loss0: 6.90968e-04, Loss_b: 1.49356e-05, Loss_f: 2.11830e-04, Loss_prev: 0.00000e+00
Iter: 8400, Loss: 8.14787e-04, Loss0: 6.73557e-04, Loss_b: 1.82622e-06, Loss_f: 1.39404e-04, Loss_prev: 0.00000e+00
Iter: 8500, Loss: 7.97860e-04, Loss0: 6.68304e-04, Loss_b: 2.13337e-06, Loss_f: 1.27423e-04, Loss_prev: 0.00000e+00
Iter: 8600, Loss: 7.96090e-04, Loss0: 6.63611e-04, Loss_b: 1.00681e-05, Loss_f: 1.22412e-04, Loss_prev: 0.00000e+00
Iter: 8700, Loss: 7.78472e-04, Loss0: 6.56851e-04, Loss_b: 1.80472e-06, Loss_f: 1.19816e-04, Loss_prev: 0.00000e+00
Iter: 8800, Loss: 7.70945e-04, Loss0: 6.50268e-04, Loss_b: 5.04751e-07, Loss_f: 1.20172e-04, Loss_prev: 0.00000e+00
Iter: 8900, Loss: 7.65527e-04, Loss0: 6.47357e-04, Loss_b: 1.15657e-06, Loss_f: 1.17013e-04, Loss_prev: 0.00000e+00
Iter: 9000, Loss: 7.65213e-04, Loss0: 6.41790e-04, Loss_b: 1.37795e-06, Loss_f: 1.22045e-04, Loss_prev: 0.00000e+00
Iter: 9100, Loss: 7.61355e-04, Loss0: 6.43070e-04, Loss_b: 8.28094e-06, Loss_f: 1.10004e-04, Loss_prev: 0.00000e+00
Iter: 9200, Loss: 7.98884e-04, Loss0: 6.40061e-04, Loss_b: 2.09483e-05, Loss_f: 1.37874e-04, Loss_prev: 0.00000e+00
Iter: 9300, Loss: 7.66230e-04, Loss0: 6.35949e-04, Loss_b: 1.14046e-06, Loss_f: 1.29140e-04, Loss_prev: 0.00000e+00
Iter: 9400, Loss: 1.14541e-03, Loss0: 6.87440e-04, Loss_b: 2.92429e-04, Loss_f: 1.65536e-04, Loss_prev: 0.00000e+00
Iter: 9500, Loss: 7.27504e-04, Loss0: 6.22280e-04, Loss_b: 8.06008e-07, Loss_f: 1.04418e-04, Loss_prev: 0.00000e+00
Iter: 9600, Loss: 8.84103e-04, Loss0: 6.44595e-04, Loss_b: 1.12298e-04, Loss_f: 1.27210e-04, Loss_prev: 0.00000e+00
Iter: 9700, Loss: 7.15046e-04, Loss0: 6.14454e-04, Loss_b: 1.09335e-06, Loss_f: 9.94988e-05, Loss_prev: 0.00000e+00
Iter: 9800, Loss: 9.10554e-04, Loss0: 6.17775e-04, Loss_b: 8.83223e-05, Loss_f: 2.04457e-04, Loss_prev: 0.00000e+00
Iter: 9900, Loss: 7.75757e-04, Loss0: 6.19340e-04, Loss_b: 3.77053e-05, Loss_f: 1.18712e-04, Loss_prev: 0.00000e+00
Iter: 10000, Loss: 7.86247e-04, Loss0: 6.16972e-04, Loss_b: 6.08598e-05, Loss_f: 1.08416e-04, Loss_prev: 0.00000e+00
Iter: 10100, Loss: 5.90896e-04, Loss0: 5.03311e-04, Loss_b: 1.23919e-06, Loss_f: 8.63459e-05, Loss_prev: 0.00000e+00
Iter: 10200, Loss: 4.46919e-04, Loss0: 3.57489e-04, Loss_b: 3.87822e-06, Loss_f: 8.55527e-05, Loss_prev: 0.00000e+00
Iter: 10300, Loss: 3.24450e-04, Loss0: 2.69314e-04, Loss_b: 1.67538e-06, Loss_f: 5.34614e-05, Loss_prev: 0.00000e+00
Iter: 10400, Loss: 2.35675e-04, Loss0: 1.70367e-04, Loss_b: 1.46474e-06, Loss_f: 6.38430e-05, Loss_prev: 0.00000e+00
Iter: 10500, Loss: 1.41098e-04, Loss0: 7.96215e-05, Loss_b: 2.58777e-06, Loss_f: 5.88889e-05, Loss_prev: 0.00000e+00
Iter: 10600, Loss: 9.86406e-05, Loss0: 4.79365e-05, Loss_b: 1.59040e-06, Loss_f: 4.91136e-05, Loss_prev: 0.00000e+00
Iter: 10700, Loss: 6.79704e-05, Loss0: 3.44795e-05, Loss_b: 2.43680e-07, Loss_f: 3.32472e-05, Loss_prev: 0.00000e+00
Iter: 10800, Loss: 5.52648e-05, Loss0: 2.80449e-05, Loss_b: 1.68300e-07, Loss_f: 2.70516e-05, Loss_prev: 0.00000e+00
Iter: 10900, Loss: 4.24585e-05, Loss0: 1.77049e-05, Loss_b: 2.31738e-07, Loss_f: 2.45219e-05, Loss_prev: 0.00000e+00
Iter: 11000, Loss: 3.32328e-05, Loss0: 1.37677e-05, Loss_b: 9.84671e-08, Loss_f: 1.93666e-05, Loss_prev: 0.00000e+00
Iter: 11100, Loss: 2.65330e-05, Loss0: 9.01064e-06, Loss_b: 2.27542e-07, Loss_f: 1.72948e-05, Loss_prev: 0.00000e+00
Iter: 11200, Loss: 2.12497e-05, Loss0: 7.30788e-06, Loss_b: 8.93725e-08, Loss_f: 1.38525e-05, Loss_prev: 0.00000e+00
Iter: 11300, Loss: 1.57294e-05, Loss0: 5.38032e-06, Loss_b: 1.98444e-08, Loss_f: 1.03293e-05, Loss_prev: 0.00000e+00
Iter: 11400, Loss: 1.25391e-05, Loss0: 2.87081e-06, Loss_b: 6.99979e-09, Loss_f: 9.66129e-06, Loss_prev: 0.00000e+00
Iter: 11500, Loss: 9.97557e-06, Loss0: 1.66485e-06, Loss_b: 3.58527e-08, Loss_f: 8.27487e-06, Loss_prev: 0.00000e+00
Iter: 11600, Loss: 8.43067e-06, Loss0: 1.29268e-06, Loss_b: 6.65709e-08, Loss_f: 7.07142e-06, Loss_prev: 0.00000e+00
Iter: 11700, Loss: 6.63255e-06, Loss0: 1.10053e-06, Loss_b: 5.03918e-08, Loss_f: 5.48163e-06, Loss_prev: 0.00000e+00
Iter: 11800, Loss: 7.15751e-06, Loss0: 1.12799e-06, Loss_b: 1.56683e-07, Loss_f: 5.87284e-06, Loss_prev: 0.00000e+00
Iter: 11900, Loss: 4.51840e-06, Loss0: 8.06383e-07, Loss_b: 2.95138e-08, Loss_f: 3.68250e-06, Loss_prev: 0.00000e+00
Iter: 12000, Loss: 4.00981e-06, Loss0: 7.44367e-07, Loss_b: 2.80905e-08, Loss_f: 3.23736e-06, Loss_prev: 0.00000e+00
Iter: 12100, Loss: 3.58534e-06, Loss0: 5.50997e-07, Loss_b: 2.81942e-08, Loss_f: 3.00615e-06, Loss_prev: 0.00000e+00
Iter: 12200, Loss: 3.25691e-06, Loss0: 5.00162e-07, Loss_b: 3.41614e-08, Loss_f: 2.72258e-06, Loss_prev: 0.00000e+00
Iter: 12300, Loss: 2.96239e-06, Loss0: 3.66795e-07, Loss_b: 5.17761e-08, Loss_f: 2.54382e-06, Loss_prev: 0.00000e+00
Iter: 12400, Loss: 2.74749e-06, Loss0: 3.43450e-07, Loss_b: 3.10455e-08, Loss_f: 2.37299e-06, Loss_prev: 0.00000e+00
Iter: 12500, Loss: 2.53193e-06, Loss0: 3.49817e-07, Loss_b: 1.93179e-08, Loss_f: 2.16279e-06, Loss_prev: 0.00000e+00
Iter: 12600, Loss: 2.29433e-06, Loss0: 3.93187e-07, Loss_b: 1.60004e-08, Loss_f: 1.88514e-06, Loss_prev: 0.00000e+00
Iter: 12700, Loss: 2.13010e-06, Loss0: 3.02625e-07, Loss_b: 2.30945e-08, Loss_f: 1.80439e-06, Loss_prev: 0.00000e+00
Iter: 12800, Loss: 2.00224e-06, Loss0: 2.64823e-07, Loss_b: 2.33241e-08, Loss_f: 1.71410e-06, Loss_prev: 0.00000e+00
Iter: 12900, Loss: 1.75105e-06, Loss0: 1.71756e-07, Loss_b: 1.24268e-08, Loss_f: 1.56687e-06, Loss_prev: 0.00000e+00
Iter: 13000, Loss: 1.63211e-06, Loss0: 1.72913e-07, Loss_b: 1.65228e-08, Loss_f: 1.44267e-06, Loss_prev: 0.00000e+00
Iter: 13100, Loss: 1.46755e-06, Loss0: 1.50295e-07, Loss_b: 1.05037e-08, Loss_f: 1.30675e-06, Loss_prev: 0.00000e+00
Iter: 13200, Loss: 1.32348e-06, Loss0: 1.13945e-07, Loss_b: 8.50133e-09, Loss_f: 1.20104e-06, Loss_prev: 0.00000e+00
Iter: 13300, Loss: 1.22104e-06, Loss0: 9.96684e-08, Loss_b: 1.05047e-08, Loss_f: 1.11087e-06, Loss_prev: 0.00000e+00
Iter: 13400, Loss: 1.11203e-06, Loss0: 9.40151e-08, Loss_b: 1.01097e-08, Loss_f: 1.00791e-06, Loss_prev: 0.00000e+00
Iter: 13500, Loss: 1.08354e-06, Loss0: 8.59282e-08, Loss_b: 1.19549e-08, Loss_f: 9.85661e-07, Loss_prev: 0.00000e+00
Training time: 1330.1395
